ID,Author,Year_paper,Title,LontitudeE,LatitudeN,Province,Site,Rainfall[mm/year],Year_experiment,FieldType,Treatment,SamplingDepth[cm],SoilType,Soil_type_FAO1,Soil_type_FAO2,pH_h2o[],BulkDensity[g/cm3],SOM[g/kg],CEC[cmol/kg],clay[%],Silt[%],Sand[%],Alox[mg/kg],Feox[mg/kg],Fe[mmol/kg],Al[mmol/kg],Extractant,CaCO3[g/kg],CaM3[mmol/kg],WaterP[mg/kg],CaCl2P[mg/kg],OlsenP[mg/kg],OxalateP[mg/kg],BrayP[mg/kg],CALP[mg/kg],M3P[mg/kg],TotalP[mg/kg],Qmax,Qmax_Unit,KL,KLNEW,KL_Unit,KL_UnitNEW,EPC0[mg/L],MBC,MBC_eq,MBC_unit,PBC,PBC_eq,PBC_unit,MPBC,MPBC_eq,MPBC_unit,DPS[%],DPS_eq,DPS_unit,PAC,PAC_eq,PAC_unit,PSI,PSI_eq,EPC0,
21,M. Li,2007,Phosphorus sorption–desorption by purple soils of China in relation to their properties,105.6,30.2,Sichuan,,,,Forestland,4,0-15,acid purple soils,Inceptisols,Inceptisols,5.2,,11.2,,9.9,,,828.8,734.4,13.11428571,30.6962963,acid ammonium oxalate,145,13.9,,,,,,,147,,501,mg/kg,0.021,0.021,L/mg,L/mg,,,,,,,,,,,29.34131737,DPS = (M3P/Smax) × 103,%,,,,160,PSI = Q/(log C),,
22,M. Li,2007,Phosphorus sorption–desorption by purple soils of China in relation to their properties,105.6,30.2,Sichuan,,,,cropland,5,0-15,calcareous purple soils,Inceptisols,Inceptisols,5.2,,14.7,,20.2,,,1170.4,756,13.5,43.34814815,acid ammonium oxalate,150,17.2,,,,,,,102,,672,mg/kg,0.022,0.022,L/mg,L/mg,,,,,,,,,,,15.17857143,DPS = (M3P/Smax) × 104,%,,,,212,PSI = Q/(log C),,
23,M. Li,2007,Phosphorus sorption–desorption by purple soils of China in relation to their properties,105.6,30.2,Sichuan,,,,cropland,6,0-15,calcareous purple soils,Inceptisols,Inceptisols,4.3,,15.6,,16.2,,,672,1042.2,18.61071429,24.88888889,acid ammonium oxalate,150,5.73,,,,,,,22,,852,mg/kg,0.096,0.096,L/mg,L/mg,,,,,,,,,,,2.582159624,DPS = (M3P/Smax) × 105,%,,,,383,PSI = Q/(log C),,
24,M. Li,2007,Phosphorus sorption–desorption by purple soils of China in relation to their properties,105.6,30.2,Sichuan,,,,cropland,7,0-15,calcareous purple soils,Inceptisols,Inceptisols,4.5,,23.7,,7.4,,,800.8,1136.7,20.29821429,29.65925926,acid ammonium oxalate,150,16.9,,,,,,,214,,569,mg/kg,0.034,0.034,L/mg,L/mg,,,,,,,,,,,37.60984183,DPS = (M3P/Smax) × 106,%,,,,207,PSI = Q/(log C),,
25,M. Li,2007,Phosphorus sorption–desorption by purple soils of China in relation to their properties,105.6,30.2,Sichuan,,,,cropland,8,0-15,calcareous purple soils,Inceptisols,Inceptisols,4.9,,17.6,,15.4,,,2088.8,907.2,16.2,77.36296296,acid ammonium oxalate,128,11.8,,,,,,,182,,540,mg/kg,0.02,0.02,L/mg,L/mg,,,,,,,,,,,33.7037037,DPS = (M3P/Smax) × 107,%,,,,184,PSI = Q/(log C),,
26,M. Li,2007,Phosphorus sorption–desorption by purple soils of China in relation to their properties,105.6,30.2,Sichuan,,,,cropland,9,0-15,calcareous purple soils,Inceptisols,Inceptisols,4.9,,13.4,,10.4,,,946.4,666.9,11.90892857,35.05185185,acid ammonium oxalate,150,9.44,,,,,,,151,,495,mg/kg,0.02,0.02,L/mg,L/mg,,,,,,,,,,,30.50505051,DPS = (M3P/Smax) × 108,%,,,,170,PSI = Q/(log C),,
27,M. Li,2007,Phosphorus sorption–desorption by purple soils of China in relation to their properties,105.6,30.2,Sichuan,,,,cropland,10,0-15,calcareous purple soils,Inceptisols,Inceptisols,4.5,,23.3,,31,,,3096.8,1155.6,20.63571429,114.6962963,acid ammonium oxalate,70.1,65.2,,,,,,,212,,685,mg/kg,0.035,0.035,L/mg,L/mg,,,,,,,,,,,30.94890511,DPS = (M3P/Smax) × 109,%,,,,250,PSI = Q/(log C),,
28,M. Li,2007,Phosphorus sorption–desorption by purple soils of China in relation to their properties,105.6,30.2,Sichuan,,,,cropland,11,0-15,calcareous purple soils,Inceptisols,Inceptisols,4.3,,20,,16.2,,,1008,1074.6,19.18928571,37.33333333,acid ammonium oxalate,150,64.4,,,,,,,321,,508,mg/kg,0.018,0.018,L/mg,L/mg,,,,,,,,,,,63.18897638,DPS = (M3P/Smax) × 110,%,,,,186,PSI = Q/(log C),,
29,M. Li,2007,Phosphorus sorption–desorption by purple soils of China in relation to their properties,105.6,30.2,Sichuan,,,,horticultural field,12,0-15,acid purple soils,Inceptisols,Inceptisols,8.4,,7.74,,16.7,,,326.48,477.9,8.533928571,12.09185185,acid ammonium oxalate,150,234,,,,,,,16,,667,mg/kg,0.019,0.019,L/mg,L/mg,,,,,,,,,,,2.3988006,DPS = (M3P/Smax) × 111,%,,,,212,PSI = Q/(log C),,
30,M. Li,2007,Phosphorus sorption–desorption by purple soils of China in relation to their properties,105.6,30.2,Sichuan,,,,horticultural field,13,0-15,acid purple soils,Inceptisols,Inceptisols,8.3,,10.9,,21,,,483.84,507.6,9.064285714,17.92,acid ammonium oxalate,150,171,,,,,,,16,,491,mg/kg,0.024,0.024,L/mg,L/mg,,,,,,,,,,,3.258655804,DPS = (M3P/Smax) × 112,%,,,,177,PSI = Q/(log C),,
31,M. Li,2007,Phosphorus sorption–desorption by purple soils of China in relation to their properties,105.6,30.2,Sichuan,,,,horticultural field,14,0-15,acid purple soils,Inceptisols,Inceptisols,8.1,,39.9,,10,,,176.96,275.4,4.917857143,6.554074074,acid ammonium oxalate,150,280,,,,,,,2.5,,484,mg/kg,0.007,0.007,L/mg,L/mg,,,,,,,,,,,0.516528926,DPS = (M3P/Smax) × 113,%,,,,103,PSI = Q/(log C),,
32,M. Li,2007,Phosphorus sorption–desorption by purple soils of China in relation to their properties,105.6,30.2,Sichuan,,,,horticultural field,15,0-15,acid purple soils,Inceptisols,Inceptisols,8.1,,21.4,,21,,,1960,702,12.53571429,72.59259259,acid ammonium oxalate,150,161,,,,,,,65,,1002,mg/kg,0.032,0.032,L/mg,L/mg,,,,,,,,,,,6.487025948,DPS = (M3P/Smax) × 114,%,,,,361,PSI = Q/(log C),,
33,M. Li,2007,Phosphorus sorption–desorption by purple soils of China in relation to their properties,105.6,30.2,Sichuan,,,,horticultural field,16,0-15,acid purple soils,Inceptisols,Inceptisols,7.9,,27.5,,21,,,2928.8,769.5,13.74107143,108.4740741,acid ammonium oxalate,150,282,,,,,,,16,,1271,mg/kg,0.034,0.034,L/mg,L/mg,,,,,,,,,,,1.258851298,DPS = (M3P/Smax) × 115,%,,,,448,PSI = Q/(log C),,
34,M. Li,2007,Phosphorus sorption–desorption by purple soils of China in relation to their properties,105.6,30.2,Sichuan,,,,horticultural field,17,0-15,acid purple soils,Inceptisols,Inceptisols,7.3,,12.8,,17.7,,,705.6,712.8,12.72857143,26.13333333,acid ammonium oxalate,99,124,,,,,,,18,,519,mg/kg,0.015,0.015,L/mg,L/mg,,,,,,,,,,,3.468208092,DPS = (M3P/Smax) × 116,%,,,,148,PSI = Q/(log C),,
35,M. Li,2007,Phosphorus sorption–desorption by purple soils of China in relation to their properties,105.6,30.2,Sichuan,,,,horticultural field,18,0-15,acid purple soils,Inceptisols,Inceptisols,8.3,,10.3,,27.1,,,884.8,610.2,10.89642857,32.77037037,acid ammonium oxalate,31.7,173,,,,,,,45,,789,mg/kg,0.019,0.019,L/mg,L/mg,,,,,,,,,,,5.703422053,DPS = (M3P/Smax) × 117,%,,,,241,PSI = Q/(log C),,
36,M. Li,2007,Phosphorus sorption–desorption by purple soils of China in relation to their properties,105.6,30.2,Sichuan,,,,paddyfield,19,0-15,neutral purple soils,Inceptisols,Inceptisols,7.1,,11.6,,23.4,,,1349.6,637.2,11.37857143,49.98518519,acid ammonium oxalate,51.1,88.2,,,,,,,31,,476,mg/kg,0.022,0.022,L/mg,L/mg,,,,,,,,,,,6.512605042,DPS = (M3P/Smax) × 118,%,,,,160,PSI = Q/(log C),,
37,M. Li,2007,Phosphorus sorption–desorption by purple soils of China in relation to their properties,105.6,30.2,Sichuan,,,,paddyfield,20,0-15,neutral purple soils,Inceptisols,Inceptisols,5.12,,25.2,,36,,,7280,1544.4,27.57857143,269.6296296,acid ammonium oxalate,137,32,,,,,,,32,,1065,mg/kg,0.082,0.082,L/mg,L/mg,,,,,,,,,,,3.004694836,DPS = (M3P/Smax) × 119,%,,,,439,PSI = Q/(log C),,
38,M. Li,2007,Phosphorus sorption–desorption by purple soils of China in relation to their properties,105.6,30.2,Sichuan,,,,paddyfield,21,0-15,neutral purple soils,Inceptisols,Inceptisols,8.4,,16.7,,19.3,,,525.28,521.1,9.305357143,19.45481481,acid ammonium oxalate,150,161,,,,,,,58,,594,mg/kg,0.011,0.011,L/mg,L/mg,,,,,,,,,,,9.764309764,DPS = (M3P/Smax) × 120,%,,,,142,PSI = Q/(log C),,
39,M. Li,2007,Phosphorus sorption–desorption by purple soils of China in relation to their properties,105.6,30.2,Sichuan,,,,paddyfield,22,0-15,neutral purple soils,Inceptisols,Inceptisols,6.2,,19.4,,9.6,,,716.8,631.8,11.28214286,26.54814815,acid ammonium oxalate,150,38.8,,,,,,,16,,481,mg/kg,0.038,0.038,L/mg,L/mg,,,,,,,,,,,3.326403326,DPS = (M3P/Smax) × 121,%,,,,187,PSI = Q/(log C),,
40,M. Li,2007,Phosphorus sorption–desorption by purple soils of China in relation to their properties,105.6,30.2,Sichuan,,,,paddyfield,23,0-15,neutral purple soils,Inceptisols,Inceptisols,5.9,,18.2,,12.2,,,1176,729,13.01785714,43.55555556,acid ammonium oxalate,150,23.9,,,,,,,40,,658,mg/kg,0.044,0.044,L/mg,L/mg,,,,,,,,,,,6.079027356,DPS = (M3P/Smax) × 122,%,,,,252,PSI = Q/(log C),,
41,Wenzhi Liu,2010,Phosphorus sorption and desorption characteristics of wetland soils from a subtropical reservoir,111.4,33.2,Hubei,Danjiangkou Reservoir,804,2007,cropland,1,0-10,alluvial soil,Fluvisols,Fluvisols,,,,,,,,802.44,3273.2,58.45,29.72,acid ammonium oxalate,,,,,,,,,75.362,,769,mg/kg,0.056,0.056,L/mg,L/mg,,43,Smax*KL,L/kg,,,,,,,9.8,DPS = (M3P/Smax) × 100,%,,,,,,,
42,Wenzhi Liu,2010,Phosphorus sorption and desorption characteristics of wetland soils from a subtropical reservoir,111.4,33.2,Hubei,Danjiangkou Reservoir,804,2007,cropland,2,0-10,alluvial soil,Fluvisols,Fluvisols,,,,,,,,708.21,2324.56,41.51,26.23,acid ammonium oxalate,,,,,,,,,68.4852,,526,mg/kg,0.058,0.058,L/mg,L/mg,,31,Smax*KL,L/kg,,,,,,,13.02,DPS = (M3P/Smax) × 100,%,,,,,,,
