ID,Author,Year_paper,Title,LontitudeE,LatitudeN,Province,Site,Rainfall[mm/year],Year_experiment,FieldType,Treatment,SamplingDepth[cm],SoilType,Soil_type_FAO1,Soil_type_FAO2,pH_h2o[],BulkDensity[g/cm3],SOM[g/kg],CEC[cmol/kg],clay[%],Silt[%],Sand[%],Alox[mg/kg],Feox[mg/kg],Fe[mmol/kg],Al[mmol/kg],Extractant,CaCO3[g/kg],CaM3[mmol/kg],WaterP[mg/kg],CaCl2P[mg/kg],OlsenP[mg/kg],OxalateP[mg/kg],BrayP[mg/kg],CALP[mg/kg],M3P[mg/kg],TotalP[mg/kg],Qmax,Qmax_Unit,KL,KLNEW,KL_Unit,KL_UnitNEW,EPC0[mg/L],MBC,MBC_eq,MBC_unit,PBC,PBC_eq,PBC_unit,MPBC,MPBC_eq,MPBC_unit,DPS[%],DPS_eq,DPS_unit,PAC,PAC_eq,PAC_unit,PSI,PSI_eq,EPC0,
103,Shengrui Wang,2005,The study of the effect ofpH on phosphate sorption by different trophic lake sediments,120.31,31.17, Zhejiang,East Taihu Lake,,2003,trophic sediments,,0-10,,Fluvisols,Fluvisols,5.5,,31.6,22,,,,,,,,,,,,,,,,,,819,206,mg/kg,0.5645,0.5645,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
104,Shengrui Wang,2005,The study of the effect ofpH on phosphate sorption by different trophic lake sediments,120.27,31.52, Zhejiang,Wuli lake,,2003,trophic sediments,,0-10,,Fluvisols,Fluvisols,7,,14.2,15,,,,,,,,,,,,,,,,,,336,512,mg/kg,0.1384,0.1384,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
105,Shengrui Wang,2005,The study of the effect ofpH on phosphate sorption by different trophic lake sediments,120.26,31.42, Zhejiang,GonghuLAKE,,2003,trophic sediments,,0-10,,Fluvisols,Fluvisols,7,,18.7,13,,,,,,,,,,,,,,,,,,451,261.5,mg/kg,0.1487,0.1487,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
106,Shengrui Wang,2005,The study of the effect ofpH on phosphate sorption by different trophic lake sediments,120.31,31.17, Zhejiang,East Taihu Lake,,2003,trophic sediments,,0-10,,Fluvisols,Fluvisols,7,,31.6,22,,,,,,,,,,,,,,,,,,819,2185.1,mg/kg,0.001,0.001,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
107,Shengrui Wang,2005,The study of the effect ofpH on phosphate sorption by different trophic lake sediments,120.27,31.52, Zhejiang,Wuli lake,,2003,trophic sediments,,0-10,,Fluvisols,Fluvisols,9,,14.2,15,,,,,,,,,,,,,,,,,,336,170.5,mg/kg,0.2546,0.2546,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
108,Shengrui Wang,2005,The study of the effect ofpH on phosphate sorption by different trophic lake sediments,120.26,31.42, Zhejiang,GonghuLAKE,,2003,trophic sediments,,0-10,,Fluvisols,Fluvisols,9,,18.7,13,,,,,,,,,,,,,,,,,,451,97,mg/kg,0.4926,0.4926,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
109,Shengrui Wang,2005,The study of the effect ofpH on phosphate sorption by different trophic lake sediments,120.31,31.17, Zhejiang,East Taihu Lake,,2003,trophic sediments,,0-10,,Fluvisols,Fluvisols,9,,31.6,22,,,,,,,,,,,,,,,,,,819,1072.7,mg/kg,0.0269,0.0269,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
110,Gang Xu,2014,Biochar had effects on phosphorus sorption and desorption in three soils with differing acidity,121.43,37.47,Shandong,Yantai,,,cropland,,0-20,sandy loam inceptisols ,Inceptisols,Inceptisols,3.83,,37.928,46,2,27.9,70.1,730,854,15.25,27.03703704,acid ammonium oxalate,,,,,,,,,,581,400,mg/kg,0.042,0.042,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
111,Gang Xu,2014,Biochar had effects on phosphorus sorption and desorption in three soils with differing acidity,121.43,37.47,Shandong,Yantai,,,cropland,,0-20,sandy loam inceptisols ,Inceptisols,Inceptisols,5.27,,91.372,46,12.5,25.4,62.1,955,602,10.75,35.37037037,acid ammonium oxalate,,,,,,,,,,412,476,mg/kg,0.055,0.055,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
112,Gang Xu,2014,Biochar had effects on phosphorus sorption and desorption in three soils with differing acidity,118.12,36.92,Shandong,Zibo,,,grassland,,0-20,loam to silt loam ,Luvisols,Luvisols,8.33,,24.136,68,6.3,76.5,17.2,400,744,13.28571429,14.81481481,acid ammonium oxalate,,,,,,,,,,532,714,mg/kg,0.14,0.14,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
113,Zhengjuan Yan,2018,Phosphorus transformation response to soil properties changes induced by manure application in a calcareous soil,116.55,40.22,Beijing,Beiyun River,,"2014, 2016",vegetable,,0-30,,Inceptisols,Inceptisols,8.96,,13.6196,62,17.3,59.5,23.2,,,,,,45.6,153.6,,,19.8,,,,25,645,187,mg/kg,0.11,0.11,L/mg,L/mg,0.04,,,,,,,,,,,,,,,,,,,
114,Zhengjuan Yan,2018,Phosphorus transformation response to soil properties changes induced by manure application in a calcareous soil,116.55,40.22,Beijing,Beiyun River,,"2014, 2016",vegetable,,0-30,,Inceptisols,Inceptisols,8.61,,16.7228,62,17.3,59.5,23.2,,,,,,46.5,173.625,,,41.6,,,,185,1107,285,mg/kg,0.06,0.06,L/mg,L/mg,0.17,,,,,,,,,,,,,,,,,,,
115,Zhengjuan Yan,2018,Phosphorus transformation response to soil properties changes induced by manure application in a calcareous soil,116.55,40.22,Beijing,Beiyun River,,"2014, 2016",vegetable,,0-30,,Inceptisols,Inceptisols,8.47,,22.412,62,17.3,59.5,23.2,,,,,,49.4,167.625,,,89.3,,,,305,1008,157,mg/kg,0.05,0.05,L/mg,L/mg,0.75,,,,,,,,,,,,,,,,,,,
116,Yunhong Zhang,2019,Phosphorus adsorption and desorption characteristics of different textural fluvo-aquic soils under long-term fertilization,113.68,35.04,Henan,kaifeng,640,1990,,,0-20,fluvo-aquic soils,Fluvisols,Fluvisols,,,2.535,109,13.18,2.08,84.74,0.858,6.06,,,DCB,,,,21.32,1.09,,,,,157,160.1,mg/kg,0.05229,0.05229,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
117,Yunhong Zhang,2019,Phosphorus adsorption and desorption characteristics of different textural fluvo-aquic soils under long-term fertilization,113.68,35.04,Henan,kaifeng,640,1990,,,0-20,fluvo-aquic soils,Fluvisols,Fluvisols,,,5.18,109,16.5,10.49,73.02,0.758,110.15,,,DCB,,,,25.22,1.369,,,,,108,533.7,mg/kg,0.02513,0.02513,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
118,Yunhong Zhang,2019,Phosphorus adsorption and desorption characteristics of different textural fluvo-aquic soils under long-term fertilization,113.68,35.04,Henan,kaifeng,640,1990,,,0-20,fluvo-aquic soils,Fluvisols,Fluvisols,,,5.991,109,29.11,20.49,50.4,1.115,241.47,,,DCB,,,,33.06,0.775,,,,,168,500.6,mg/kg,0.08651,0.08651,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
119,Yunhong Zhang,2019,Phosphorus adsorption and desorption characteristics of different textural fluvo-aquic soils under long-term fertilization,113.68,35.04,Henan,kaifeng,640,1990,,,0-20,fluvo-aquic soils,Fluvisols,Fluvisols,,,6.053,109,36.4,23.19,40.41,0.835,385.22,,,DCB,,,,39.18,0.684,,,,,293,600.5,mg/kg,0.06869,0.06869,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
120,Yunhong Zhang,2019,Phosphorus adsorption and desorption characteristics of different textural fluvo-aquic soils under long-term fertilization,113.68,35.04,Henan,kaifeng,640,1990,,,0-20,fluvo-aquic soils,Fluvisols,Fluvisols,,,9.942,109,53.81,44.07,2.12,1.113,409.19,,,DCB,,,,19.38,1.647,,,,,276,2005,mg/kg,0.04319,0.04319,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
121,Yunhong Zhang,2019,Phosphorus adsorption and desorption characteristics of different textural fluvo-aquic soils under long-term fertilization,113.68,35.04,Henan,kaifeng,640,1999,,,0-20,fluvo-aquic soils,Fluvisols,Fluvisols,,,4.942,109,14.66,2.5,82.82,0.757,76.4,,,DCB,,,,23.3,1.4,,,,,198,222.5,mg/kg,0.04919,0.04919,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
122,Yunhong Zhang,2019,Phosphorus adsorption and desorption characteristics of different textural fluvo-aquic soils under long-term fertilization,113.68,35.04,Henan,kaifeng,640,1999,,,0-20,fluvo-aquic soils,Fluvisols,Fluvisols,,,5.814,109,17,10.17,72.83,1.166,131.44,,,DCB,,,,23.31,1.028,,,,,206,449.3,mg/kg,0.0423,0.0423,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
123,Yunhong Zhang,2019,Phosphorus adsorption and desorption characteristics of different textural fluvo-aquic soils under long-term fertilization,113.68,35.04,Henan,kaifeng,640,1999,,,0-20,fluvo-aquic soils,Fluvisols,Fluvisols,,,9.534,109,29.07,21.36,49.6,0.688,466.69,,,DCB,,,,23.27,0.915,,,,,286,592.3,mg/kg,0.08884,0.08884,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
124,Yunhong Zhang,2019,Phosphorus adsorption and desorption characteristics of different textural fluvo-aquic soils under long-term fertilization,113.68,35.04,Henan,kaifeng,640,1999,,,0-20,fluvo-aquic soils,Fluvisols,Fluvisols,,,10.22,109,43.25,22.85,33.9,0.626,880.34,,,DCB,,,,25.06,0.79,,,,,340,836.4,mg/kg,0.07203,0.07203,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
125,Yunhong Zhang,2019,Phosphorus adsorption and desorption characteristics of different textural fluvo-aquic soils under long-term fertilization,113.68,35.04,Henan,kaifeng,640,1999,,,0-20,fluvo-aquic soils,Fluvisols,Fluvisols,,,8.727,109,52.78,43.06,4.16,0.671,577.84,,,DCB,,,,21.09,0.871,,,,,339,2290,mg/kg,0.03141,0.03141,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
126,Yunhong Zhang,2019,Phosphorus adsorption and desorption characteristics of different textural fluvo-aquic soils under long-term fertilization,113.68,35.04,Henan,kaifeng,640,2017,,,0-20,fluvo-aquic soils,Fluvisols,Fluvisols,,,8.02,109,14.72,3.19,82.09,0.69,207.19,,,DCB,,,,56.47,3.01,,,,,597,367.8,mg/kg,0.01971,0.01971,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
127,Yunhong Zhang,2019,Phosphorus adsorption and desorption characteristics of different textural fluvo-aquic soils under long-term fertilization,113.68,35.04,Henan,kaifeng,640,2017,,,0-20,fluvo-aquic soils,Fluvisols,Fluvisols,,,9.822,109,18.31,11.18,70.52,0.703,326.18,,,DCB,,,,44.45,4.039,,,,,588,518.1,mg/kg,0.03707,0.03707,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
128,Yunhong Zhang,2019,Phosphorus adsorption and desorption characteristics of different textural fluvo-aquic soils under long-term fertilization,113.68,35.04,Henan,kaifeng,640,2017,,,0-20,fluvo-aquic soils,Fluvisols,Fluvisols,,,12.631,109,27.48,22.09,50.44,0.813,392.56,,,DCB,,,,30.41,2.376,,,,,594,677,mg/kg,0.05915,0.05915,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
129,Yunhong Zhang,2019,Phosphorus adsorption and desorption characteristics of different textural fluvo-aquic soils under long-term fertilization,113.68,35.04,Henan,kaifeng,640,2017,,,0-20,fluvo-aquic soils,Fluvisols,Fluvisols,,,14.407,109,44.13,21.61,34.26,0.749,695.52,,,DCB,,,,25.73,2.219,,,,,583,830.8,mg/kg,0.06224,0.06224,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
130,Yunhong Zhang,2019,Phosphorus adsorption and desorption characteristics of different textural fluvo-aquic soils under long-term fertilization,113.68,35.04,Henan,kaifeng,640,2017,,,0-20,fluvo-aquic soils,Fluvisols,Fluvisols,,,16.395,109,51.8,39.99,8.21,0.778,817.65,,,DCB,,,,28.89,3.307,,,,,645,1560,mg/kg,0.04831,0.04831,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
131,Mengmeng Chen,2021,organic fertilization improves the availability and adsorptive capacity of phosphorus in saline alkaline soils,118.54,37.52,Shandong,Dongying,,,,,0-20,,Inceptisols,Inceptisols,8.87,,8.9648,62,17,,,,,,,,,,,,8.5,,,,,180,278.8,mg/kg,0.2095,0.2095,L/mg,L/mg,,,,,,,,,,,6.7,OlsenP/Smax,%,,,,,,,
132,Mengmeng Chen,2021,organic fertilization improves the availability and adsorptive capacity of phosphorus in saline alkaline soils,118.54,37.52,Shandong,Dongying,,,,,0-20,,Inceptisols,Inceptisols,8.82,,11.5508,62,17,,,,,,,,,,,,15.7,,,,,850,247.2,mg/kg,0.2098,0.2098,L/mg,L/mg,,,,,,,,,,,19.5,OlsenP/Smax,%,,,,,,,
133,Mengmeng Chen,2021,organic fertilization improves the availability and adsorptive capacity of phosphorus in saline alkaline soils,118.54,37.52,Shandong,Dongying,,,,,0-20,,Inceptisols,Inceptisols,8.53,,13.2748,62,17,,,,,,,,,,,,24.7,,,,,940,310.4,mg/kg,0.2755,0.2755,L/mg,L/mg,,,,,,,,,,,22.5,OlsenP/Smax,%,,,,,,,
134,Mengmeng Chen,2021,organic fertilization improves the availability and adsorptive capacity of phosphorus in saline alkaline soils,118.54,37.52,Shandong,Dongying,,,,,0-20,,Inceptisols,Inceptisols,8.47,,13.9644,62,17,,,,,,,,,,,,27.3,,,,,950,294,mg/kg,0.2519,0.2519,L/mg,L/mg,,,,,,,,,,,25.5,OlsenP/Smax,%,,,,,,,
135,Shuai Zhang,2021,enhanced topsoil P leaching in a short term flooded calcareous soil with combined straw and ammonium nitrogen incorporation,115.79,39.75,Beijing,",Beiyun River",603,2016,vegetable protected field,CK,0-5,Brown soil,Luvisols,Luvisols,7.41,,,,,,,,,,,,,113.25,,,77.8,591,,,214,1170,357,mg/kg,1.65,1.65,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
136,Shuai Zhang,2021,enhanced topsoil P leaching in a short term flooded calcareous soil with combined straw and ammonium nitrogen incorporation,115.79,39.75,Beijing,",Beiyun River",603,2016,vegetable protected field,SI,0-5,Brown soil,Luvisols,Luvisols,7.27,,,,,,,,,,,,,98.5,,,51.8,505,,,161,1070,336,mg/kg,1.66,1.66,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
137,Shuai Zhang,2021,enhanced topsoil P leaching in a short term flooded calcareous soil with combined straw and ammonium nitrogen incorporation,115.79,39.75,Beijing,",Beiyun River",603,2016,vegetable protected field,SN,0-5,Brown soil,Luvisols,Luvisols,7.47,,,,,,,,,,,,,104.5,,,,478,,,130,1020,270,mg/kg,1.23,1.23,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
138,Shuai Zhang,2021,enhanced topsoil P leaching in a short term flooded calcareous soil with combined straw and ammonium nitrogen incorporation,115.79,39.75,Beijing,",Beiyun River",603,2016,vegetable protected field,SH,0-5,Brown soil,Luvisols,Luvisols,7.06,,,,,,,,,,,,,104,,,,651,,,249,1200,435,mg/kg,2.09,2.09,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
139,Denggao Fu,2021,land use effects on sil P behavior characteristics in the eutrophic aquatic-teerrestrial ecotone of Dianchi Lake China,102.77,24.87,Yunnan,Danchi,925,2018,cropland,intensive farmland,0-20,,Gleysols,Gleysols,6.23,0.87,53.9612,46,43.8,27.1,29.2,790,1600,28.57142857,29.25925926,acid ammonium oxalate,,,0.766,,,,,,,,556.1,mg/kg,0.098,0.098,L/mg,L/mg,,,,,,,,,,,14.91,OlsenP/Smax,%,,,,,,,
140,Denggao Fu,2021,land use effects on sil P behavior characteristics in the eutrophic aquatic-teerrestrial ecotone of Dianchi Lake China,102.7,24.77,Yunnan,Danchi,925,2018,cropland,intensive farmland,0-20,,Gleysols,Gleysols,7.48,0.89,27.0668,34,43.8,39.6,16.7,790,870,15.53571429,29.25925926,acid ammonium oxalate,,,0.159,,,,,,,,669.9,mg/kg,0.067,0.067,L/mg,L/mg,,,,,,,,,,,3.56,OlsenP/Smax,%,,,,,,,
141,Denggao Fu,2021,land use effects on sil P behavior characteristics in the eutrophic aquatic-teerrestrial ecotone of Dianchi Lake China,102.68,24.68,Yunnan,Danchi,925,2018,cropland,intensive farmland,0-20,,Gleysols,Gleysols,6.96,1.05,31.7216,41,37.5,20.8,41.7,750,840,15,27.77777778,acid ammonium oxalate,,,0.259,,,,,,,,643.2,mg/kg,0.063,0.063,L/mg,L/mg,,,,,,,,,,,5.63,OlsenP/Smax,%,,,,,,,
142,Denggao Fu,2021,land use effects on sil P behavior characteristics in the eutrophic aquatic-teerrestrial ecotone of Dianchi Lake China,102.69,24.84,Yunnan,Danchi,925,2018,cropland,intensive farmland,0-20,,Gleysols,Gleysols,6.89,0.94,37.5832,0,41.7,29.2,29.2,780,1100,19.64285714,28.88888889,acid ammonium oxalate,,,0.395,,,,,,,,623.1,mg/kg,0.076,0.076,L/mg,L/mg,,,,,,,,,,,8.03,OlsenP/Smax,%,,,,,,,
143,NanCao,2021,Straw retention coupled with mineral P fertilizer for reducing P fertilizer imput and improving cotton yield,120.57,33.4,Jiangsu,yancheng,473,2019,cropland,cotton cropland straw removal ,0-20,saline soil,Solonchaks,Solonchaks,7.95,,10.6,24.6,8.4,56.1,35.5,,,,,,,,,,6.1,,,,,598,417,mg/kg,0.28,0.28,L/mg,L/mg,,,,,,,,,,,,,,,PAC (%) = Av-P/(TP × 1000) ×100,%,,,,
144,NanCao,2021,Straw retention coupled with mineral P fertilizer for reducing P fertilizer imput and improving cotton yield,120.57,33.4,Jiangsu,yancheng,473,2019,cropland,cottonbarley straw retention ,0-20,saline soil,Solonchaks,Solonchaks,7.71,,12.1,30.6,8.4,56.1,35.5,,,,,,,,,,9.4,,,,,610,395,mg/kg,0.28,0.28,L/mg,L/mg,,,,,,,,,,,,,,,PAC (%) = Av-P/(TP × 1000) ×100,%,,,,
145,NanCao,2021,Straw retention coupled with mineral P fertilizer for reducing P fertilizer imput and improving cotton yield,120.57,33.4,Jiangsu,yancheng,473,2019,cropland,straw removal ,0-20,saline soil,Solonchaks,Solonchaks,7.76,,11.7,24.9,8.4,56.1,35.5,,,,,,,,,,12.9,,,,,635,390,mg/kg,0.29,0.29,L/mg,L/mg,,,,,,,,,,,,,,,PAC (%) = Av-P/(TP × 1000) ×100,%,,,,
146,NanCao,2021,Straw retention coupled with mineral P fertilizer for reducing P fertilizer imput and improving cotton yield,120.57,33.4,Jiangsu,yancheng,473,2019,cropland,cottonbarley straw retention ,0-20,saline soil,Solonchaks,Solonchaks,7.56,,13,30.3,8.4,56.1,35.5,,,,,,,,,,18,,,,,644,353,mg/kg,0.31,0.31,L/mg,L/mg,,,,,,,,,,,,,,,PAC (%) = Av-P/(TP × 1000) ×100,%,,,,
147,NanCao,2021,Straw retention coupled with mineral P fertilizer for reducing P fertilizer imput and improving cotton yield,120.57,33.4,Jiangsu,yancheng,473,2019,cropland,straw removal ,0-20,saline soil,Solonchaks,Solonchaks,7.76,,11.8,24.7,8.4,56.1,35.5,,,,,,,,,,28.1,,,,,672,362,mg/kg,0.3,0.3,L/mg,L/mg,,,,,,,,,,,,,,,PAC (%) = Av-P/(TP × 1000) ×100,%,,,,
148,NanCao,2021,Straw retention coupled with mineral P fertilizer for reducing P fertilizer imput and improving cotton yield,120.57,33.4,Jiangsu,yancheng,473,2019,cropland,cottonbarley straw retention ,0-20,saline soil,Solonchaks,Solonchaks,7.58,,13.5,31.3,8.4,56.1,35.5,,,,,,,,,,33.4,,,,,682,333,mg/kg,0.32,0.32,L/mg,L/mg,,,,,,,,,,,,,,,PAC (%) = Av-P/(TP × 1000) ×100,%,,,,
149,NanCao,2021,Straw retention coupled with mineral P fertilizer for reducing P fertilizer imput and improving cotton yield,120.57,33.4,Jiangsu,yancheng,473,2019,cropland,straw removal ,0-20,saline soil,Solonchaks,Solonchaks,7.73,,12,25.1,8.4,56.1,35.5,,,,,,,,,,32.8,,,,,681,326,mg/kg,0.31,0.31,L/mg,L/mg,,,,,,,,,,,,,,,PAC (%) = Av-P/(TP × 1000) ×100,%,,,,
150,NanCao,2021,Straw retention coupled with mineral P fertilizer for reducing P fertilizer imput and improving cotton yield,120.57,33.4,Jiangsu,yancheng,473,2019,cropland,cottonbarley straw retention ,0-20,saline soil,Solonchaks,Solonchaks,7.56,,13.7,30.6,8.4,56.1,35.5,,,,,,,,,,39.4,,,,,693,313,mg/kg,0.31,0.31,L/mg,L/mg,,,,,,,,,,,,,,,PAC (%) = Av-P/(TP × 1000) ×100,%,,,,
151,NanCao,2021,Straw retention coupled with mineral P fertilizer for reducing P fertilizer imput and improving cotton yield,120.57,33.4,Jiangsu,yancheng,473,2019,cropland,straw removal ,0-20,saline soil,Solonchaks,Solonchaks,7.91,,11.9,25.9,8.4,56.1,35.5,,,,,,,,,,33.8,,,,,689,289,mg/kg,0.35,0.35,L/mg,L/mg,,,,,,,,,,,,,,,PAC (%) = Av-P/(TP × 1000) ×100,%,,,,
152,NanCao,2021,Straw retention coupled with mineral P fertilizer for reducing P fertilizer imput and improving cotton yield,120.57,33.4,Jiangsu,yancheng,473,2019,cropland,straw removal ,0-20,saline soil,Solonchaks,Solonchaks,7.49,,13.5,31.4,8.4,56.1,35.5,,,,,,,,,,41.3,,,,,703,289,mg/kg,0.33,0.33,L/mg,L/mg,,,,,,,,,,,,,,,PAC (%) = Av-P/(TP × 1000) ×100,%,,,,
153,Qihua Wu,2021,Long-term change in phosphorus behavior and the degree of P saturation in typical cropland after different fertilization practices,125.8,43.5,Jilin,Gongzhuling,591,1990,cropland,/,0-20,Black soil,Phaeozems,Phaeozems,7.6,1.2,22.7568,52,32.1,,,1600,1900,33.92857143,59.25925926,acid ammonium oxalate,21.3,,,4.6,10.9,,,,,600,454.5,mg/kg,0.057,0.057,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
154,Qihua Wu,2021,Long-term change in phosphorus behavior and the degree of P saturation in typical cropland after different fertilization practices,113.67,34.78,Henan,Zhengzhou,641,1990,cropland,/,0-20,Fluvo-aquic soil,Fluvisols,Fluvisols,8.3,1.4,11.55,0,13.4,,,700,1000,17.85714286,25.92592593,acid ammonium oxalate,66.6,,,2.3,7.6,,,,,500,434.8,mg/kg,0.027,0.027,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
155,Qihua Wu,2021,Long-term change in phosphorus behavior and the degree of P saturation in typical cropland after different fertilization practices,111.87,26.75,Hunan,Qiyang,1426,1990,cropland,/,0-20,Red earth,Ferrosols,Ferrosols,5.7,1.2,11.37,13,41,,,2600,400,7.142857143,96.2962963,acid ammonium oxalate,8.5,,,4.4,13.8,,,,,600,555.6,mg/kg,0.09,0.09,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
156,Bolang Chen,2010,不同质地棉田土壤对磷吸附与解析研究,87.32,44.02,Xinjiang,Changjizhou,,2007,cropland,,,砂壤土,Inceptisols,Inceptisols,8,,21.4,39,11.1,48.7,40.7,,,,,,,,,0.0111,1.8,,,,,660,500,mg/kg,0.1258,0.1875,L/mg,L/mg,,,,,,,,,,,0.36,OlsenP/Smax,%,,,,11.44,PSI = Q/(log C),,
157,Bolang Chen,2010,不同质地棉田土壤对磷吸附与解析研究,87.32,44.02,Xinjiang,Changjizhou,,2007,cropland,,,壤土,Inceptisols,Inceptisols,7.8,,19.4,39,16.4,60.2,23.4,,,,,,,,,0.0037,5.4,,,,,770,666.67,mg/kg,0.0968,0.2169,L/mg,L/mg,,,,,,,,,,,0.86,OlsenP/Smax,%,,,,13.97,PSI = Q/(log C),,
158,Bolang Chen,2010,不同质地棉田土壤对磷吸附与解析研究,87.32,44.02,Xinjiang,Changjizhou,,2007,cropland,,,粘土,Inceptisols,Inceptisols,8,,25.9,39,30.9,56.1,13,,,,,,,,,0.0007,7.2,,,,,790,1000,mg/kg,0.0672,0.2105,L/mg,L/mg,,,,,,,,,,,0.72,OlsenP/Smax,%,,,,20.03,PSI = Q/(log C),,
159,Bolang Chen,2005,不同施肥制度对红壤耕层磷的吸持特性影响的研究,111.87,26.75,Hunan,Qiyang,,2001,cropland,CK,0-20,红壤,Ferrosols,Ferrosols,5.76,,15.8,,,,,,,,,,,,,,0.72,,,,,463,416.67,mg/kg,0.1875,0.1875,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
160,Bolang Chen,2005,不同施肥制度对红壤耕层磷的吸持特性影响的研究,111.87,26.75,Hunan,Qiyang,,2001,cropland,N,0-20,红壤,Ferrosols,Ferrosols,4.42,,15.6,,,,,,,,,,,,,,1.44,,,,,431,555.56,mg/kg,0.2169,0.2169,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
161,Bolang Chen,2005,不同施肥制度对红壤耕层磷的吸持特性影响的研究,111.87,26.75,Hunan,Qiyang,,2001,cropland,NPK,0-20,红壤,Ferrosols,Ferrosols,4.72,,18.4,,,,,,,,,,,,,,62.72,,,,,877,625,mg/kg,0.2105,0.2105,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
162,Bolang Chen,2005,不同施肥制度对红壤耕层磷的吸持特性影响的研究,111.87,26.75,Hunan,Qiyang,,2001,cropland,SNPK,0-20,红壤,Ferrosols,Ferrosols,4.64,,17.5,,,,,,,,,,,,,,48.22,,,,,755,588.24,mg/kg,0.1868,0.1868,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
163,Bolang Chen,2005,不同施肥制度对红壤耕层磷的吸持特性影响的研究,111.87,26.75,Hunan,Qiyang,,2001,cropland,OM+NPK,0-20,红壤,Ferrosols,Ferrosols,5.73,,24.74,,,,,,,,,,,,,,191.67,,,,,1456,1111.1,mg/kg,0.0118,0.0118,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
164,Bolang Chen,2005,不同施肥制度对红壤耕层磷的吸持特性影响的研究,111.87,26.75,Hunan,Qiyang,,2001,cropland,OM,0-20,红壤,Ferrosols,Ferrosols,6.77,,22.6,,,,,,,,,,,,,,127.87,,,,,877,288.24,mg/kg,0.0347,0.0347,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
165,Chuanmin Cheng,1996,干湿交替过程中石灰性土壤磷吸附和解析的变化,119.03,33.64,Jiangsu,Huaiyin,,,cropland,,,淤土,Calcisols,Calcisols,8.22,,15.5,23.8,,,,,,,,,132,,,,16.7,,,,,689,422,mg/kg,1.76,,？,,,,,,,,,,,,,,,,,,,,,
166,Chuanmin Cheng,1996,干湿交替过程中石灰性土壤磷吸附和解析的变化,119.03,33.64,Jiangsu,Huaiyin,,,cropland,,,砂土,Calcisols,Calcisols,8.01,,15.2,6.94,,,,,,,,,84.4,,,,17.4,,,,,689,262,mg/kg,0.38,,？,,,,,,,,,,,,,,,,,,,,,
167,Chen Feng,2015,辽西北风沙半干旱区垄膜沟播处理对土壤氮磷吸附解析特性影响研究,121.77,42.15,Liaoning,Fuxin,,2013,cropland,传统种植,根区土壤,褐土,Fluvisols,Fluvisols,7.12,,17.83,14.42,,,,,,,,,74.00000095,,,,,,,,,720,3245.098039,mg/kg,0.0051,,?,,,,,,,,,,,,,,,,,,,,,
168,Chen Feng,2015,辽西北风沙半干旱区垄膜沟播处理对土壤氮磷吸附解析特性影响研究,121.77,42.15,Liaoning,Fuxin,,2013,cropland,垄膜沟植,根区土壤,褐土,Fluvisols,Fluvisols,6.25,,15.38,12.69,,,,,,,,,74.00000095,,,,,,,,,610,2832.432432,mg/kg,0.0037,,?,,,,,,,,,,,,,,,,,,,,,
