ID_new,ID,Author,year,title,longtitude,latitude,longtitude_temp,latitude_temp,province,site,depth,annual mean precipitation,annual mean temperature,landuse type,field type,soil type,soil_ty temp,soilty_usda,reference,ph,ph_extractant,som,som_unit,soc,soc_unit,tc,tc_unit,clay,clay_hwsd,silt,sand,caco3[g/kg],Alox[mg/kg],Feox[mg/kg],Pox[mg/kg],ref,pcacl2,pcacl2_unit,polsen[mg/kg],ptotal[g/kg],Qmax[mg/kg],Qmax_unit,KL[L/mg],KL_unit,
43,43,Denggao Fu,2021,land use effects on sil P behavior characteristics in the eutrophic aquatic-teerrestrial ecotone of Dianchi Lake China,102.7,24.77,,,Yunnan,Danchi,0-20,,,cropland,,Eutric Cambisol,,Inceptisols,WRB,7.48,h2o,27.0668,g/kg,,,,,43.8,,39.6,,,790,870,,"McKeague et al.,1971",,,,,669.9,mg/kg,0.067,L/mg,no totalP data
44,44,Denggao Fu,2021,land use effects on sil P behavior characteristics in the eutrophic aquatic-teerrestrial ecotone of Dianchi Lake China,102.68,24.68,,,Yunnan,Danchi,0-20,,,cropland,,Eutric Cambisol,,Inceptisols,WRB,6.96,h2o,31.7216,g/kg,,,,,37.5,,20.8,,,750,840,,"McKeague et al.,1971",,,,,643.2,mg/kg,0.063,L/mg,no totalP data
45,45,Denggao Fu,2021,land use effects on sil P behavior characteristics in the eutrophic aquatic-teerrestrial ecotone of Dianchi Lake China,102.69,24.84,,,Yunnan,Danchi,0-20,,,cropland,,Eutric Cambisol,,Inceptisols,WRB,6.89,h2o,37.5832,g/kg,,,,,41.7,,29.2,,,780,1100,,"McKeague et al.,1971",,,,,623.1,mg/kg,0.076,L/mg,no totalP data
46,46,DongfengHuang,2009,???????????????????,119.34,26.13,,,Fujian,,0-20,,,cropland,vegetable,???,,Inceptisols,,5.27,h2o,36.996,g/kg,,,,,,,,,,,,,,1.359,mg/kg,209.724,2.42,769.231,mg/kg,0.0429,L/mg,
47,47,DongfengHuang,2009,???????????????????,119.3,26.14,,,Fujian,,0-20,,,cropland,vegetable,???,,Inceptisols,,6.23,h2o,25.278,g/kg,,,,,,,,,,,,,,0.653,mg/kg,118.376,1.353,714.286,mg/kg,0.0838,L/mg,
48,48,DongfengHuang,2009,???????????????????,119.34,26.13,,,Fujian,,0-20,,,cropland,vegetable,???,,Inceptisols,,5.46,h2o,32,g/kg,,,,,,,,,,,,,,0.688,mg/kg,147.789,1.868,666.667,mg/kg,0.121,L/mg,
49,49,DongfengHuang,2009,???????????????????,119.34,26.13,,,Fujian,,0-20,,,cropland,vegetable,???,,Inceptisols,,6.55,h2o,34.054,g/kg,,,,,,,,,,,,,,1.47,mg/kg,221.522,2.234,769.231,mg/kg,0.0512,L/mg,
50,50,DongfengHuang,2009,???????????????????,119.34,26.13,,,Fujian,,0-20,,,cropland,vegetable,???,,Inceptisols,,6.33,h2o,27.272,g/kg,,,,,,,,,,,,,,1.836,mg/kg,289.259,2.289,833.333,mg/kg,0.0312,L/mg,
51,51,DongfengHuang,2009,???????????????????,119.35,26.09,,,Fujian,,0-20,,,cropland,vegetable,???,,Inceptisols,,6.25,h2o,23.792,g/kg,,,,,,,,,,,,,,1.142,mg/kg,198.344,1.981,833.333,mg/kg,0.0472,L/mg,
52,52,DongfengHuang,2009,???????????????????,119.35,26.09,,,Fujian,,0-20,,,cropland,vegetable,???,,Inceptisols,,6.57,h2o,56.867,g/kg,,,,,,,,,,,,,,0.834,mg/kg,157.804,2.183,1000,mg/kg,0.0452,L/mg,
53,53,DongfengHuang,2009,???????????????????,119.35,26,,,Fujian,,0-20,,,cropland,vegetable,???,,Inceptisols,,6.75,h2o,36.373,g/kg,,,,,,,,,,,,,,0.277,mg/kg,96.107,1.831,714.286,mg/kg,0.2188,L/mg,
54,54,DongfengHuang,2009,???????????????????,119.35,26.03,,,Fujian,,0-20,,,cropland,vegetable,???,,Inceptisols,,4.74,h2o,48.753,g/kg,,,,,,,,,,,,,,1.6,mg/kg,261.99,2.478,833.333,mg/kg,0.041,L/mg,
55,55,DongfengHuang,2009,???????????????????,119.33,26.02,,,Fujian,,0-20,,,cropland,vegetable,???,,Inceptisols,,5.4,h2o,46.371,g/kg,,,,,,,,,,,,,,0.593,mg/kg,160.409,1.973,833.333,mg/kg,0.1333,L/mg,
56,56,DongfengHuang,2009,???????????????????,119.29,26.02,,,Fujian,,0-20,,,cropland,vegetable,???,,Inceptisols,,6.12,h2o,43.705,g/kg,,,,,,,,,,,,,,0.743,mg/kg,150.494,1.858,714.286,mg/kg,0.1157,L/mg,
57,57,Fang Yang,2006,???????????????????????,117.07,28.26,,,Jiangxi,Yingtan,0-20,,,cropland,,??,,Ultisols,,5.58,h2o,11.46,g/kg,,,,,,,,,,1160,1060,,vendrell sabbe 1990,,,39.59,0.5,710,mg/kg,0.041,L/mg,
