Staalnummer,Land,site,proefveld,year,diepte bodemstaalname,Staalnummering buitenland,plot,Behandeling,staaldiepte (cm onder maaiveld),start proef,textuurklasse,gewassen,gewassen (winter/zomer),yield (t/ha ),yield[t/ha],Column 14,max yield,relative_yield,,av rel yield,bodem P (mg/kg soil) (gekregen resultaten),P-AL (mg/kg),Column 20,P_ox,Al-ox (mg/kg),Fe-ox (mg/kg),P-ox (mmol/kg),Al-ox (mmol/kg),Fe-ox (mmol/kg),FVG (%),P_Olsen,P_CaCl2,P DGT (µg/L)
211,Verenigd Koninkrijk,Peldon,Peldon,2011,,,5,R1D5,0-25,2009,klei,wheat,wheat,8.55,8.55,,9.3,91.6,,,33,109.6,,168,636,3378,5.4,23.6,60.5,12.9,20.6,1.6,37.6
212,Verenigd Koninkrijk,Peldon,Peldon,2011,,,6,R1D6,0-25,2009,klei,wheat,wheat,8.11,8.11,,9.3,86.9,,,11,53.3,,148,623,3343,4.8,23.1,59.9,11.5,13.4,1.5,29.7
213,Verenigd Koninkrijk,Peldon,Peldon,2011,,,7,R1D7,0-25,2009,klei,wheat,wheat,8.2,8.2,,9.3,87.9,,,34.6,75.6,,209,655,3544,6.8,24.3,63.5,15.4,34.9,2.2,72.7
214,Verenigd Koninkrijk,Peldon,Peldon,2011,,,8,R1D8,0-25,2009,klei,wheat,wheat,7.85,7.85,,9.3,84.1,,,11.6,29,,126,670,3251,4.1,24.8,58.2,9.8,10.6,1.4,19.6
215,Verenigd Koninkrijk,Peldon,Peldon,2011,,,9,R1D9,0-25,2009,klei,wheat,wheat,7.64,7.64,,9.3,81.9,,,14.4,42.9,,159,695,3646,5.1,25.8,65.3,11.3,15.5,1.4,27
216,Verenigd Koninkrijk,Peldon,Peldon,2011,,,10,R2D1,0-25,2009,klei,wheat,wheat,9.27,9.27,,9.3,99.4,,,38.6,103.6,,219,638,3399,7.1,23.6,60.9,16.8,37.3,2.4,87.6
217,Verenigd Koninkrijk,Peldon,Peldon,2011,,,11,R2D2,0-25,2009,klei,wheat,wheat,7.91,7.91,,9.3,84.8,,,8.4,38.5,,154,663,3580,5,24.6,64.1,11.2,13.7,1.6,27.6
218,Verenigd Koninkrijk,Peldon,Peldon,2011,,,12,R2D3,0-25,2009,klei,wheat,wheat,8.77,8.77,,9.3,94,,,34.2,79,,200,670,3419,6.5,24.8,61.2,15,33.1,2.1,68.1
219,Verenigd Koninkrijk,Peldon,Peldon,2011,,,13,R2D4,0-25,2009,klei,wheat,wheat,7.58,7.58,,9.3,81.2,,,11.2,31.9,,148,659,3730,4.8,24.4,66.8,10.5,12.2,1.5,25.6
220,Verenigd Koninkrijk,Peldon,Peldon,2011,,,14,R2D5,0-25,2009,klei,wheat,wheat,8.23,8.23,,9.3,88.2,,,18.4,102.4,,209,654,3628,6.8,24.2,65,15.2,32.1,2.3,78.2
221,Verenigd Koninkrijk,Peldon,Peldon,2011,,,15,R2D6,0-25,2009,klei,wheat,wheat,6.73,6.73,,9.3,72.1,,,9,42.5,,164,617,3578,5.3,22.9,64.1,12.1,18.5,1.8,42.5
222,Verenigd Koninkrijk,Peldon,Peldon,2011,,,16,R2D7,0-25,2009,klei,wheat,wheat,6.73,6.73,,9.3,72.1,,,9.4,35.5,,168,632,3691,5.4,23.4,66.1,12.1,14.9,1.4,31.1
223,Verenigd Koninkrijk,Peldon,Peldon,2011,,,17,R2D8,0-25,2009,klei,wheat,wheat,7.76,7.76,,9.3,83.2,,,12.2,33.3,,146,719,3728,4.7,26.6,66.8,10.1,12.7,1.5,27.5
224,Verenigd Koninkrijk,Peldon,Peldon,2011,,,18,R2D9,0-25,2009,klei,wheat,wheat,6.48,6.48,,9.3,69.5,,,6.8,33.2,,124,665,3477,4,24.6,62.3,9.2,9.7,1,15.9
225,Verenigd Koninkrijk,Great Carlton,Great Carlton,2011,,,1,R1D1,0-22,2009,leem-klei,wheat,wheat,8.33,8.33,,9,92.8,,,10.6,40.3,,185,618,2445,6,22.9,43.8,17.9,12.8,1.5,24.7
226,Verenigd Koninkrijk,Great Carlton,Great Carlton,2011,,,2,R1D2,0-22,2009,leem-klei,wheat,wheat,8.92,8.92,,9,99.3,,,14.4,53.2,,183,593,2456,5.9,22,44,18,15.1,1.5,30.6
227,Verenigd Koninkrijk,Great Carlton,Great Carlton,2011,,,3,R2D3,0-22,2009,leem-klei,wheat,wheat,6.78,6.78,,9,75.5,,,11,31.3,,162,582,2246,5.2,21.6,40.2,16.9,12.2,1.2,21.3
228,Verenigd Koninkrijk,Great Carlton,Great Carlton,2011,,,4,R1D4,0-22,2009,leem-klei,wheat,wheat,8.98,8.98,,9,100,,,20.8,61.2,,208,591,2313,6.7,21.9,41.4,21.2,20,1.9,54.1
229,Verenigd Koninkrijk,Great Carlton,Great Carlton,2011,,,5,R1D5,0-22,2009,leem-klei,wheat,wheat,7.56,7.56,,9,84.2,,,8.6,26.6,,147,574,2424,4.7,21.3,43.4,14.7,9.8,1.1,15.5
230,Verenigd Koninkrijk,Great Carlton,Great Carlton,2011,,,6,R1D6,0-22,2009,leem-klei,wheat,wheat,6.71,6.71,,9,74.7,,,7.6,26.8,,147,606,2412,4.8,22.5,43.2,14.5,10,1.2,18
231,Verenigd Koninkrijk,Great Carlton,Great Carlton,2011,,,7,R1D7,0-22,2009,leem-klei,wheat,wheat,8.6,8.6,,9,95.8,,,25.2,68.6,,216,616,2286,7,22.8,40.9,21.9,22.9,2.1,49.2
232,Verenigd Koninkrijk,Great Carlton,Great Carlton,2011,,,8,R1D8,0-22,2009,leem-klei,wheat,wheat,6.91,6.91,,9,76.9,,,8.6,28.4,,167,582,2612,5.4,21.6,46.8,15.7,10.5,1.4,18.3
233,Verenigd Koninkrijk,Great Carlton,Great Carlton,2011,,,9,R1D9,0-22,2009,leem-klei,wheat,wheat,7.02,7.02,,9,78.2,,,13.4,44.1,,168,623,2362,5.4,23.1,42.3,16.6,13.4,1.8,26.9
234,Verenigd Koninkrijk,Great Carlton,Great Carlton,2011,,,10,R2D1,0-22,2009,leem-klei,wheat,wheat,6.93,6.93,,9,77.2,,,7.6,29.8,,158,637,2483,5.1,23.6,44.5,15,10.4,1.5,20.4
235,Verenigd Koninkrijk,Great Carlton,Great Carlton,2011,,,11,R2D2,0-22,2009,leem-klei,wheat,wheat,6.94,6.94,,9,77.3,,,7.8,26,,150,562,2564,4.8,20.8,45.9,14.5,9.6,1.5,18.7
236,Verenigd Koninkrijk,Great Carlton,Great Carlton,2011,,,12,R2D3,0-22,2009,leem-klei,wheat,wheat,6.91,6.91,,9,76.9,,,7.2,25.9,,150,627,2427,4.8,23.2,43.5,14.5,9.9,1.2,14.9
237,Verenigd Koninkrijk,Great Carlton,Great Carlton,2011,,,13,R2D4,0-22,2009,leem-klei,wheat,wheat,8.1,8.1,,9,90.2,,,26.4,68.3,,221,631,2441,7.1,23.4,43.7,21.2,23.7,2.1,55
238,Verenigd Koninkrijk,Great Carlton,Great Carlton,2011,,,14,R2D5,0-22,2009,leem-klei,wheat,wheat,7.29,7.29,,9,81.2,,,8,27.5,,157,600,2525,5.1,22.2,45.2,15,9.1,1.3,15.7
239,Verenigd Koninkrijk,Great Carlton,Great Carlton,2011,,,15,R2D6,0-22,2009,leem-klei,wheat,wheat,8.06,8.06,,9,89.8,,,10.6,38.3,,159,581,2226,5.1,21.5,39.9,16.8,11.8,1.4,19.9
240,Verenigd Koninkrijk,Great Carlton,Great Carlton,2011,,,16,R2D7,0-22,2009,leem-klei,wheat,wheat,8.87,8.87,,9,98.8,,,27.4,76.1,,220,603,2241,7.1,22.4,40.1,22.7,27.3,1.9,51.4
241,Verenigd Koninkrijk,Great Carlton,Great Carlton,2011,,,17,R2D8,0-22,2009,leem-klei,wheat,wheat,8.1,8.1,,9,90.2,,,8.4,64.6,,159,562,2221,5.1,20.8,39.8,17,10.7,1.4,17.4
242,Verenigd Koninkrijk,Great Carlton,Great Carlton,2011,,,18,R2D9,0-22,2009,leem-klei,wheat,wheat,8.79,8.79,,9,97.9,,,12.2,41.3,,168,577,2357,5.4,21.4,42.2,17,13,1.4,22.3
243,Zweden,Lanna,Lanna,2013,,,1,no P,0-20,1936,leem-klei,wheat,wheat,4.94,4.94,,6.8,72.9,,,16,24.2,,249,1087,3737,8.1,40.3,66.9,15,8.1,1.1,11.6
244,Zweden,Lanna,Lanna,2013,,,2,superP,0-20,1936,leem-klei,wheat,wheat,6.78,6.78,,6.8,100,,,32,46.6,,319,1102,3729,10.3,40.8,66.8,19.1,16.6,1.3,23.2
245,Zweden,Lanna,Lanna,2013,,,3,superP om de 6 jaar,0-20,1936,leem-klei,wheat,wheat,6.41,6.41,,6.8,94.5,,,29,39.6,,294,1103,3687,9.5,40.9,66,17.7,14,1.2,18
246,België,Ath,Ath_2,1982,,,965-12,P0,0-25,1965,,wheat,winterwheat,5.94,5.94,,6.3,94.7,,94.7,8,104.3,,289,506,2325,9.3,18.8,41.6,30.9,27.3,2,127.1
247,België,Ath,Ath_2,1982,,,965-15,P1,0-25,1965,,wheat,winterwheat,5.95,5.95,,6.3,94.9,,94.9,13,143.8,,333,499,2223,10.7,18.5,39.8,36.8,49.5,4.3,460.2
248,België,Ath,Ath_2,1982,,,965-18,P2,0-25,1965,,wheat,winterwheat,6.25,6.25,,6.3,99.6,,99.6,22,255.9,,421,503,2161,13.6,18.6,38.7,47.4,76.4,10.1,1129.9
249,België,Ath,Ath_2,1982,,,965-23,P4,0-25,1965,,wheat,winterwheat,6.27,6.27,,6.3,100,,100,27,285.3,,462,490,2235,14.9,18.2,40,51.3,98.8,14,1551.5
246,België,Ath,Ath_0,1980,,,965-12,P0,0-25,1965,,barley,winterbarley,5.98,5.98,,6.7,89.8,,89.8,8,104.3,,289,506,2325,9.3,18.8,41.6,30.9,27.3,2,127.1
247,België,Ath,Ath_0,1980,,,965-15,P1,0-25,1965,,barley,winterbarley,6.1,6.1,,6.7,91.5,,91.5,13,143.8,,333,499,2223,10.7,18.5,39.8,36.8,49.5,4.3,460.2
248,België,Ath,Ath_0,1980,,,965-18,P2,0-25,1965,,barley,winterbarley,6.27,6.27,,6.7,94.2,,94.2,22,255.9,,421,503,2161,13.6,18.6,38.7,47.4,76.4,10.1,1129.9
249,België,Ath,Ath_0,1980,,,965-23,P4,0-25,1965,,barley,winterbarley,6.66,6.66,,6.7,100,,100,27,285.3,,462,490,2235,14.9,18.2,40,51.3,98.8,14,1551.5
246,België,Ath,Ath_1,1981,,,965-12,P0,0-25,1965,,potatoes,potatoes,20.49,20.49,,35.1,58.4,,58.4,8,104.3,,289,506,2325,9.3,18.8,41.6,30.9,27.3,2,127.1
247,België,Ath,Ath_1,1981,,,965-15,P1,0-25,1965,,potatoes,potatoes,29.05,29.05,,35.1,82.8,,82.8,13,143.8,,333,499,2223,10.7,18.5,39.8,36.8,49.5,4.3,460.2
248,België,Ath,Ath_1,1981,,,965-18,P2,0-25,1965,,potatoes,potatoes,33.62,33.62,,35.1,95.9,,95.9,22,255.9,,421,503,2161,13.6,18.6,38.7,47.4,76.4,10.1,1129.9
249,België,Ath,Ath_1,1981,,,965-23,P4,0-25,1965,,potatoes,potatoes,35.06,35.06,,35.1,100,,100,27,285.3,,462,490,2235,14.9,18.2,40,51.3,98.8,14,1551.5
246,België,Ath,Ath_3,1983,,,965-12,P0,0-25,1965,,barley,winterbarley,6.25,6.25,,6.6,94.8,,94.8,8,104.3,,289,506,2325,9.3,18.8,41.6,30.9,27.3,2,127.1
247,België,Ath,Ath_3,1983,,,965-15,P1,0-25,1965,,barley,winterbarley,6.27,6.27,,6.6,95.1,,95.1,13,143.8,,333,499,2223,10.7,18.5,39.8,36.8,49.5,4.3,460.2
248,België,Ath,Ath_3,1983,,,965-18,P2,0-25,1965,,barley,winterbarley,6.24,6.24,,6.6,94.7,,94.7,22,255.9,,421,503,2161,13.6,18.6,38.7,47.4,76.4,10.1,1129.9
249,België,Ath,Ath_3,1983,,,965-23,P4,0-25,1965,,barley,winterbarley,6.59,6.59,,6.6,100,,100,27,285.3,,462,490,2235,14.9,18.2,40,51.3,98.8,14,1551.5
250,België,Ath,Ath_5,1985,,,965-12,P0,0-25,1965,,wheat,winterwheat,7.61,7.61,,8,95.6,,95.6,10,92,,278,493,2191,9,18.3,39.2,31.2,26.9,2,118.5
251,België,Ath,Ath_5,1985,,,965-15,P1,0-25,1965,,wheat,winterwheat,7.67,7.67,,8,96.4,,96.4,15,149.2,,355,519,2277,11.5,19.2,40.8,38.2,46.4,4.5,488.7
252,België,Ath,Ath_5,1985,,,965-18,P2,0-25,1965,,wheat,winterwheat,7.52,7.52,,8,94.4,,94.4,24,235.5,,425,515,2177,13.7,19.1,39,47.3,73.1,10.3,1004.5
253,België,Ath,Ath_5,1985,,,965-22,P3,0-25,1965,,wheat,winterwheat,8.04,8.04,,8,101,,101,25,247,,452,547,2203,14.6,20.3,39.5,48.9,83.4,13.4,1425.7
254,België,Ath,Ath_5,1985,,,965-23,P4,0-25,1965,,wheat,winterwheat,7.96,7.96,,8,100,,100,33,316.4,,519,565,2362,16.8,21,42.3,53,81.9,16.5,1569
250,België,Ath,Ath_4,1984,,,965-12,P0,0-25,1965,,sugarbeet,sugarbeet,60.66,60.66,,65.4,92.7,,92.7,10,92,,278,493,2191,9,18.3,39.2,31.2,26.9,2,118.5
251,België,Ath,Ath_4,1984,,,965-15,P1,0-25,1965,,sugarbeet,sugarbeet,62.56,62.56,,65.4,95.6,,95.6,15,149.2,,355,519,2277,11.5,19.2,40.8,38.2,46.4,4.5,488.7
252,België,Ath,Ath_4,1984,,,965-18,P2,0-25,1965,,sugarbeet,sugarbeet,65.23,65.23,,65.4,99.6,,104.8,24,235.5,,425,515,2177,13.7,19.1,39,47.3,73.1,10.3,1004.5
253,België,Ath,Ath_4,1984,,,965-22,P3,0-25,1965,,sugarbeet,sugarbeet,65.44,65.44,,65.4,100,,100,25,247,,452,547,2203,14.6,20.3,39.5,48.9,83.4,13.4,1425.7
254,België,Ath,Ath_4,1984,,,965-23,P4,0-25,1965,,sugarbeet,sugarbeet,65.44,65.44,,65.4,100,,100,33,316.4,,519,565,2362,16.8,21,42.3,53,81.9,16.5,1569
250,België,Ath,Ath_6,1986,,,965-12,P0,0-25,1965,,barley,winterbarley,5.5,5.5,,6.6,84,,84,10,92,,278,493,2191,9,18.3,39.2,31.2,26.9,2,118.5
251,België,Ath,Ath_6,1986,,,965-15,P1,0-25,1965,,barley,winterbarley,6.04,6.04,,6.6,92.3,,92.3,15,149.2,,355,519,2277,11.5,19.2,40.8,38.2,46.4,4.5,488.7
252,België,Ath,Ath_6,1986,,,965-18,P2,0-25,1965,,barley,winterbarley,6.08,6.08,,6.6,92.8,,85.3,24,235.5,,425,515,2177,13.7,19.1,39,47.3,73.1,10.3,1004.5
253,België,Ath,Ath_6,1986,,,965-22,P3,0-25,1965,,barley,winterbarley,6.48,6.48,,6.6,98.9,,98.9,25,247,,452,547,2203,14.6,20.3,39.5,48.9,83.4,13.4,1425.7
254,België,Ath,Ath_6,1986,,,965-23,P4,0-25,1965,,barley,winterbarley,6.55,6.55,,6.6,100,,100,33,316.4,,519,565,2362,16.8,21,42.3,53,81.9,16.5,1569
250,België,Ath,Ath_7,1987,,,965-12,P0,0-25,1965,,sugarbeet,sugarbeet,68.34,68.34,,70,97.6,,97.6,10,92,,278,493,2191,9,18.3,39.2,31.2,26.9,2,118.5
251,België,Ath,Ath_7,1987,,,965-15,P1,0-25,1965,,sugarbeet,sugarbeet,67.69,67.69,,70,96.7,,96.7,15,149.2,,355,519,2277,11.5,19.2,40.8,38.2,46.4,4.5,488.7
252,België,Ath,Ath_7,1987,,,965-18,P2,0-25,1965,,sugarbeet,sugarbeet,68.42,68.42,,70,97.7,,97.7,24,235.5,,425,515,2177,13.7,19.1,39,47.3,73.1,10.3,1004.5
253,België,Ath,Ath_7,1987,,,965-22,P3,0-25,1965,,sugarbeet,sugarbeet,69.98,69.98,,70,99.9,,99.9,25,247,,452,547,2203,14.6,20.3,39.5,48.9,83.4,13.4,1425.7
254,België,Ath,Ath_7,1987,,,965-23,P4,0-25,1965,,sugarbeet,sugarbeet,70.03,70.03,,70,100,,100,33,316.4,,519,565,2362,16.8,21,42.3,53,81.9,16.5,1569
