ID,Year,Treatments,FertilizerP [kg/ha/yr],Manure [kg/ha],Pinput[kg/ha],maizegrain[kg/ha],maize straw[kg/ha],N concentration in maize grain[%],N concentration in maize straw[%],P concentration in maize grain[%],P concentration in maize straw[%],wheatgrain[kg/ha],wheat straw[kg/ha],N concentration in wheat grain[%],N concentration in wheat straw[%],P concentration in wheat grain[%],P concentration in wheat straw[%],Nuptake[kg/ha],Puptake[kg/ha],Psurplus[kg/ha],Oaccumulatedsurplus[kg/ha],SOC[g/kg],pH,OlsenP[mg/kg],TotalP[g/kg],CaCl2P[mg/kg],oxalateP[mg/kg],oxalateAl[mg/kg],oxalateCa[m/kg],oxalateFe[mg/kg],preci_sur[m/yr],totalp20-40[g/kg],puptakemaize[kg/ha],puptakewheat[kg/ha]
64,1995,NPKS,52.3943662,5.136,57.5303662,4138.5,4406.25,1.12,0.96 ,0.27,0.52,1629,2191.5,2.547514378,0.67 ,0.37,0.07,144.8645208,41.6478,15.8825662,94.94548099,10.80046404,5.3,28.2,0.76,NA,NA,NA,NA,NA,0.48,NA,34.08645,7.56135
73,1996,NPKM,52.3943662,158,210.3943662,4200,3975,1.16,0.91 ,0.31,0.63,1387.5,4530,2.433414613,0.57 ,0.45,0.13,144.711249,50.19525,160.1991162,983.7830472,11.71693735,5.8,37.6,0.88,NA,NA,NA,NA,NA,0.79,NA,38.0625,12.13275
110,1999,M,0,158,158,5595,5212.5,1.15,0.90 ,0.4,0.28,1081.5,1083,2.12,0.93 ,0.5,0.13,144.2547,43.7904,114.2096,857.94785,13.80510441,6.4,77.5,1.04,NA,NA,NA,NA,NA,0.54,NA,36.975,6.8154
172,2005,NPKM,52.3943662,158,210.3943662,4788,5711.25,0.877768696,0.48 ,0.34,0.15,2052,5275.5,2.470670717,0.42 ,0.58,0.15,142.4879194,44.660925,165.7334412,2518.071918,12.98758701,5.74,165.48,1.7248,NA,NA,NA,NA,NA,0.71,1.0732,24.846075,19.81485
99,1998,M,0,158,158,3672,3645,1.66,0.71 ,0.31,0.24,1255.5,5667,1.82,0.52 ,0.53,0.15,139.1532,35.28585,122.71415,743.73825,15.9512761,6.3,64.6,0.99,NA,NA,NA,NA,NA,0.72,NA,20.1312,15.15465
95,1998,NPKM,52.3943662,158,210.3943662,5385,4374,1.23,0.64 ,0.31,0.21,1152.75,4549.5,2.09,0.45 ,0.54,0.16,138.794325,39.38295,171.0114162,1330.51513,9.048723898,5.9,88.3,1.35,NA,NA,NA,NA,NA,0.72,NA,25.8789,13.50405
250,2012,HNPKM,78.5915493,237,315.5915493,4395.21975,2437.266331,1.209913971,0.65 ,0.32,0.13,1330.033477,3983.56,3.240098252,0.65 ,0.56,0.22,137.923596,33.4451689,282.1463804,5910.666127,16.12448209,6.1185,248.7344,2.516612581,NA,NA,NA,NA,NA,0.54,1.149316013,17.23314943,16.21201947
37,1993,NK,0,0,0,3054,4410,1.16,1.18 ,0.23,0.44,930,3150,2.392302826,0.89 ,0.33,0.06,137.7458441,31.3872,-31.3872,-67.727175,8.89,5.25,5.4,0.44,NA,NA,NA,NA,NA,0.65,NA,26.4282,4.959
143,2002,M,0,158,158,4962,3615,1.14,0.78 ,0.31,0.86,1552.5,2188.5,2.53,0.59 ,0.52,0.13,136.8227606,37.86825,120.13175,1242.14399,14.1937355,6.8,81.7,0.96,NA,NA,NA,NA,NA,1.13,NA,26.9502,10.91805
176,2005,M,0,158,158,2556,2931,0.909127194,0.61 ,0.33,0.2,2265,4638,2.491768389,0.83 ,0.54,0.14,136.2617811,33.021,124.979,1596.91154,13.21316705,6.57,99.84,1.2975,NA,NA,NA,NA,NA,0.71,0.7314,14.2968,18.7242
249,2012,NPKM,52.3943662,158,210.3943662,5055.25275,2520.452163,1.234211981,0.73 ,0.25,0.14,1452.050839,3552.739167,2.642374025,0.43 ,0.51,0.14,134.3514971,28.54605901,181.8483072,3768.445731,14.46032638,6.0385,181.6226,1.706324096,NA,NA,NA,NA,NA,0.54,0.701749528,16.1667649,12.37929411
83,1997,NPK,52.3943662,0,52.3943662,5550,3571.5,1.15,1.09 ,0.27,0.13,1063.5,1764,2.34258194,0.34 ,0.31,0.05,133.6653089,23.8068,28.5875662,147.7001884,11.31090487,4.6,34,0.96,NA,NA,NA,NA,NA,1.2,NA,19.62795,4.17885
108,1999,NPKS,52.3943662,5.616,58.0103662,5334,4257.75,1.14,0.86 ,0.39,0.05,988.5,1053,2.14,1.36 ,0.43,0.05,132.89895,27.708525,30.3018412,192.7771458,10.09280742,4.2,21.9,0.67,NA,NA,NA,NA,NA,0.54,NA,22.931475,4.77705
58,1995,NP,52.3943662,0,52.3943662,3115.5,3546.75,1.23,1.14 ,0.27,0.16,1564.5,2461.5,2.385412302,0.65 ,0.32,0.07,132.1211641,20.8161,31.5782662,155.501681,9.843387471,5.2,13.7,0.71,NA,NA,NA,NA,NA,0.48,NA,14.08665,6.72945
272,2014,HNPKM,78.5915493,237,315.5915493,5806.748948,2975.14875,1.424580877,0.86 ,0.26,0.09,904.4978166,3035.037633,0.657599021,0.58 ,0.46,0.21,131.8000193,28.30945012,287.2820992,6486.392937,17.27478009,5.95,240.9625,1.996391397,NA,NA,NA,NA,NA,0.56,1.13997501,17.77518114,10.53426898
14,1991,NP,52.3943662,0,52.3943662,3040.5,2154,1.23,1.14265543,0.27,0.09,1917,3681,2.385412302,0.65 ,0.32,0.07,131.5967985,18.85905,33.5353162,33.5353162,NA,NA,NA,0.45,NA,NA,NA,NA,NA,0.8,NA,10.14795,8.7111
94,1998,NPK,52.3943662,0,52.3943662,5698.5,3564,1.31,0.84 ,0.26,0.08,853.5,2341.5,1.82,0.48 ,0.35,0.04,131.36085,21.59115,30.8032162,178.5034046,10.32482599,4.3,26.6,0.845,NA,NA,NA,NA,NA,0.72,NA,17.6673,3.92385
117,2000,NPKM,52.3943662,158,210.3943662,5502,2770.5,1.09,1.07 ,0.29,0.15,1096.5,2439.75,1.89,0.84 ,0.4,0.11,130.8339,27.181275,183.2130912,1684.145787,12.29698376,5.8,136,1.29,1.648492623,726.8,1551,50.26,2833.4,0.76,NA,20.11155,7.069725
150,2003,NPKM,52.3943662,158,210.3943662,5985,5293.5,0.811228933,0.51 ,0.3,0.25,1860,3071.25,2.434288038,0.29 ,0.38,0.16,129.8531999,43.17075,167.2236162,2191.942186,18.28886311,5.9,132.8,1.16,NA,NA,NA,NA,NA,0.46,NA,31.18875,11.982
17,1991,NPK,52.3943662,0,52.3943662,2688,3151.5,1.15,1.009715691,0.27,0.19,1789.5,3418.5,2.34258194,0.68 ,0.31,0.06,127.8374282,20.844,31.5503662,31.5503662,NA,NA,NA,0.45,NA,NA,NA,NA,NA,0.8,NA,13.24545,7.59855
24,1992,N,0,0,0,2527.5,3415.5,1.18,1.17 ,0.26,0.17,1281,3892.5,2.349442151,0.71 ,0.33,0.05,127.6442477,21.3672,-21.3672,-32.391825,9.13,6.5,4.8,0.41,NA,NA,NA,NA,NA,0.83,NA,15.19365,6.17355
88,1997,M,0,158,158,5335.5,4872,1.14,0.83 ,0.31,0.07,901.5,2115,2.34053834,0.23 ,0.47,0.08,127.2267531,25.8795,132.1205,621.0241,13.28306265,6.4,30.9,0.88,NA,NA,NA,NA,NA,1.2,NA,19.95045,5.92905
26,1992,NK,0,0,0,2628,2604,1.16,1.18 ,0.23,0.34,1332,3831.75,2.392302826,0.89 ,0.33,0.06,127.2081329,17.6562,-17.6562,-36.339975,8.33,6.2,4.2,0.45,NA,NA,NA,NA,NA,0.83,NA,10.96155,6.69465
330,2019,M,0,158,158,4070.884944,3631.944056,#REF!,#REF!,0.293182524,0.348587377,1433.78009,3126.564989,#REF!,#REF!,0.452646432,0.14724845,#REF!,31.42663929,126.5733607,3390.696785,14.59652426,6.636862745,130.1242688,1.332148511,5.583707505,1121,1385.2,53.94,3782,NA,NA,20.33286638,11.09377291
183,2006,NPKM,52.3943662,158,210.3943662,4639.5,3537,1.065105343,0.77 ,0.35,0.175,1542.686538,3174,2.634736073,0.27 ,0.51,0.09,125.6019029,33.15230135,177.2420649,2695.313983,14.47958718,5.83,244.955,1.71555,NA,NA,NA,NA,NA,0.84,1.039341806,22.428,10.72430135
271,2014,NPKM,52.3943662,158,210.3943662,5013.116299,2600.13,1.307069186,0.95 ,0.25,0.08,1021.621622,3549.050189,0.593586269,0.80 ,0.47,0.17,124.625032,25.44790169,184.9464645,4138.271137,14.30807598,5.96,179.73,2.005018212,NA,NA,NA,NA,NA,0.56,0.832755547,14.61289475,10.83500694
264,2013,M,0,158,158,3861.135,5124.87,1.08455484,0.70 ,0.23,0.14,851.7113571,2135.798135,3.10225097,0.66 ,0.36,0.19,118.1642199,23.17960584,134.8203942,2636.617264,15.60178455,6.46,90.9975,1.354696423,NA,NA,NA,NA,NA,0.22,1.017572678,16.0554285,7.124177341
141,2002,NPKS,52.3943662,3.48,55.8743662,3780,2968.5,1.12,0.96 ,0.27,0.96,1191,1286.25,3.24,0.67 ,0.45,0.07,118.0525902,18.69225,37.1821162,312.4618194,11.22389791,4.9,27.8,0.68,NA,NA,NA,NA,NA,1.13,NA,12.432375,6.259875
198,2007,M,0,158,158,3376.5,3996,1.14,0.78 ,0.31,0.135,1218,3387.5,2.34053834,0.59 ,0.47,0.13,117.9691563,25.9901,132.0099,1855.551158,15.05098608,6.91,161.56,1.3694,1.905067351,671,1310.8,57.12,3568.8,0.64,0.7611,15.86175,10.12835
44,1993,M,0,158,158,3159,3930,1.14,0.78 ,0.31,0.39,1140,4200,2.34053834,0.59 ,0.47,0.13,117.9097697,35.9379,122.0621,122.0621,10.94,6.45,15.6,0.65,NA,NA,NA,NA,NA,0.65,NA,25.1199,10.818
130,2001,NPKS,52.3943662,3.192,55.5863662,4705.5,3168,0.85,1.14 ,0.23,0.07,1150.5,1758.75,2.39,0.74 ,0.33,0.05,116.68701,17.716275,37.8700912,275.2797032,10.12761021,4.6,48.2,0.75,NA,NA,NA,NA,NA,0.62,NA,13.04025,4.676025
97,1998,NPKS,52.3943662,3.912,56.3063662,4960.5,3402,1.1,0.75 ,0.28,0.06,1196.25,3520.5,1.75,0.39 ,0.41,0.04,114.744825,22.243425,34.0629412,162.4753046,11.02088167,4.5,35.1,0.83,NA,NA,NA,NA,NA,0.72,NA,15.9306,6.312825
105,1999,NPK,52.3943662,0,52.3943662,4123.5,3681.75,1.12,1.08 ,0.35,0.05,945,1158,1.92,0.84 ,0.41,0.03,113.8173,20.495025,31.8993412,210.4027458,9.802784223,4.2,21.4,0.73,NA,NA,NA,NA,NA,0.54,NA,16.273125,4.2219
165,2004,M,0,158,158,2599.5,3307.5,1.045367938,0.78 ,0.28,0.52,2242.5,3538.5,2.189097291,0.33 ,0.58,0.17,113.5646601,43.49955,114.50045,1471.93254,17.89483759,6.54,105.64,1.316,NA,NA,NA,NA,NA,0.71,1.0351,24.4776,19.02195
132,2001,M,0,158,158,4722,3678,0.99,0.62 ,0.31,0.33,1275.6,2635.5,1.95,0.69 ,0.41,0.12,112.46343,35.16816,122.83184,1122.01224,13.08584687,6.7,127.8,0.87,NA,NA,NA,NA,NA,0.62,NA,26.7756,8.39256
15,1991,NK,0,0,0,3189,2606.25,1.16,1.178895713,0.23,0.25,1096.5,2025,2.392302826,0.89 ,0.33,0.06,112.0015087,18.683775,-18.683775,-18.683775,NA,NA,NA,0.45,NA,NA,NA,NA,NA,0.8,NA,13.850325,4.83345
35,1993,N,0,0,0,2787,2940,1.18,1.17 ,0.26,0.21,900,3150,2.349442151,0.71 ,0.33,0.05,110.8926628,17.9652,-17.9652,-50.357025,9.05,5.28,5.2,0.46,NA,NA,NA,NA,NA,0.65,NA,13.4202,4.545
48,1994,NK,0,0,0,1834.5,1840.5,1.21,1.18 ,0.21,0.53,1335,3435,2.66,0.89 ,0.34,0.06,110.0284802,20.2071,-20.2071,-87.934275,6.728538283,5.5,5.5,0.43,NA,NA,NA,NA,NA,1.05,NA,13.6071,6.6
218,2009,NPKS,52.3943662,2.875,55.2693662,2461.23,2490.070476,1.317321098,1.43 ,0.35,0.08,802.540125,1622.032317,3.205955458,0.78 ,0.17,0.06,106.4893818,12.94389898,42.32546721,617.5815103,8.586019739,4.18,31.228212,0.997057026,NA,NA,NA,NA,NA,0.51,0.548764172,10.60636138,2.337537603
329,2019,NPKMR,52.3943662,158,210.3943662,583.1374327,1043.381423,#REF!,#REF!,0.6,0.242,1497.1315,3134.742134,#REF!,#REF!,0.46407471,0.17123043,#REF!,NA,NA,NA,15.06503116,5.947019608,158.6213708,1.585741353,NA,NA,NA,NA,NA,NA,NA,NA,12.31544109
187,2006,M,0,158,158,2835,2697,1.027331248,0.75 ,0.38,0.355,1540.172571,3382.5,2.538278565,0.38 ,0.54,0.08,101.2655961,31.37028189,126.6297181,1723.541258,13.33083629,6.58,179.88,1.229627263,NA,NA,NA,NA,NA,0.84,0.763982737,20.34735,11.02293189
66,1995,M,0,158,158,2484,3427.5,1.14,0.78 ,0.31,0.51,1365,2307,2.34053834,0.59 ,0.47,0.13,100.4774327,34.59525,123.40475,362.6454,13.76450116,7.2,27.3,0.74,NA,NA,NA,NA,NA,0.48,NA,25.18065,9.4146
80,1997,NP,52.3943662,0,52.3943662,2923.5,3811.5,1.23,1.01 ,0.27,0.11,810,1410,2.385412302,0.31 ,0.32,0.05,98.14803965,15.3831,37.0112662,219.4794634,10.96287703,4.7,21.2,0.73,NA,NA,NA,NA,NA,1.2,NA,12.0861,3.297
152,2003,NPKS,52.3943662,4.587,56.9813662,4354.5,3387,0.771901637,0.80 ,0.26,0.08,1320,1954.5,2.262219959,0.31 ,0.33,0.07,96.55611124,19.75545,37.2259162,349.6877356,11.9025522,4.7,34,0.64,NA,NA,NA,NA,NA,0.46,NA,14.0313,5.72415
303,2017,NPK,52.3943662,0,52.3943662,2990.061753,2526.2625,1.35595753,1.12 ,0.285985422,0.149961213,897.4083643,2146.682823,2.279331387,0.33 ,0.366416455,0.023152669,96.34998122,16.12482092,36.26954528,983.7443877,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,12.33955463,3.785266287
154,2003,M,0,158,158,4131,3735,0.768486879,0.33 ,0.35,0.31,2188.5,3372,1.936935245,0.27 ,0.5,0.17,95.78574138,42.7119,115.2881,1357.43209,14.06032483,6.3,87.3,0.81,NA,NA,NA,NA,NA,0.46,NA,26.037,16.6749
121,2000,M,0,158,158,3609,1794,1.09,0.94 ,0.16,0.24,955.5,2089.5,1.72,0.98 ,0.35,0.16,93.1134,16.76745,141.23255,999.1804,12.3549884,6.6,36.8,0.89,0.617382938,364.68,1225,50.28,3230.8,0.76,NA,10.08,6.68745
163,2004,NPKS,52.3943662,2.846,55.2403662,1972.5,2116.5,1.127257898,0.96 ,0.23,0.16,1351.5,2695.5,2.781446847,0.44 ,0.36,0.04,92.06429406,13.86675,41.3736162,391.0613518,11.02598608,4.49,22.14,0.7558,NA,NA,NA,NA,NA,0.71,0.5674,7.92315,5.9436
297,2016,M,0,158,158,3116.836328,2311.155,1.123622848,0.59 ,0.29,0.3,926.2668235,2977.09962,2.89096039,0.56 ,0.46,0.2,91.99995518,26.18731698,131.812683,3025.097226,13.11680726,6.671666667,202.19,1.715321768,NA,NA,NA,NA,NA,0.7,0.880461336,15.97229035,10.21502663
149,2003,NPK,52.3943662,0,52.3943662,3063,2860.5,0.990934541,0.82 ,0.27,0.09,1348.5,1416.75,2.262538157,0.43 ,0.49,0.08,90.49231261,18.5856,33.8087662,359.3327356,11.9837587,4.6,35.6,0.67,NA,NA,NA,NA,NA,0.46,NA,10.84455,7.74105
138,2002,NPK,52.3943662,0,52.3943662,4017,1861.5,1.15,1.01 ,0.27,0.83,763.5,939.75,2.44,0.68 ,0.31,0.06,89.99399566,15.2658,37.1285662,325.5239694,9.831786543,4.7,43.9,0.78,NA,NA,NA,NA,NA,1.13,NA,12.3351,2.9307
127,2001,NPK,52.3943662,0,52.3943662,3429,2574,0.96,0.80 ,0.24,0.07,1083,1470.75,2.07,0.91 ,0.27,0.05,89.389545,13.690875,38.7034912,288.3954032,10.71925754,4.7,62.7,0.87,NA,NA,NA,NA,NA,0.62,NA,10.0314,3.659475
59,1995,NK,0,0,0,2305.5,2686.5,1.16,1.18 ,0.23,0.63,838.5,1203,2.392302826,0.89 ,0.33,0.06,89.19883775,25.71645,-25.71645,-113.650725,8.37587007,6,6,0.43,NA,NA,NA,NA,NA,0.48,NA,22.2276,3.48885
160,2004,NPK,52.3943662,0,52.3943662,1792.5,1967.25,1.029008452,1.01 ,0.24,0.16,1332,2645.25,2.728266699,0.51 ,0.36,0.08,88.04851762,14.361,38.0333662,397.3661018,11.44298144,4.46,26.12,0.7871,NA,NA,NA,NA,NA,0.71,0.5746,7.4496,6.9114
77,1996,M,0,158,158,1800,3225,1.14,0.78 ,0.31,0.55,834,3465,2.34053834,0.59 ,0.47,0.13,85.45813258,31.7418,126.2582,488.9036,10.15081206,5.8,25.6,0.76,NA,NA,NA,NA,NA,0.79,NA,23.3175,8.4243
275,2014,M,0,158,158,3595,2070.1035,1.297530264,0.56 ,0.27,0.1,790,3812.929134,0.530183616,0.57 ,0.46,0.18,84.37643033,22.27387594,135.7261241,2772.343389,14.33399642,6.72,188.775,1.701194827,NA,NA,NA,NA,NA,0.56,0.851058934,11.7766035,10.49727244
253,2012,M,0,158,158,3510.15,1954.05,1.0360134,0.55 ,0.26,0.18,1036.875,2122.03252,2.596799645,0.43 ,0.52,0.16,83.15853094,21.43068203,136.569318,2501.79687,15.12638109,6.91,161.56,1.369396778,NA,NA,NA,NA,NA,0.54,0.7611,12.64368,8.787002033
306,2017,NPKS,52.3943662,3.864681818,56.25904802,2788.276859,2446.2225,1.240300763,0.73 ,0.257391104,0.143251936,872.527051,2252.706673,2.498877119,0.30 ,0.372471219,0.015769572,80.81518614,14.28619203,41.97285598,990.8506365,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,10.68103768,3.605154352
215,2009,NPK,52.3943662,0,52.3943662,1350.675,2002.221481,1.30106843,1.55 ,0.26,0.07,647.7823875,1680.084,2.722630582,0.83 ,0.17,0.06,80.11013634,7.022590495,45.3717757,628.7299908,9.073374778,4.3,36.011954,1.057563226,NA,NA,NA,NA,NA,0.51,0.539304114,4.913310037,2.109280459
13,1991,N,0,0,0,1624.5,1752.75,1.18,1.168119241,0.26,0.13,1024.5,2283,2.349442151,0.71 ,0.33,0.05,80.0338072,11.024625,-11.024625,-11.024625,NA,NA,NA,0.45,NA,NA,NA,NA,NA,0.8,NA,6.502275,4.52235
102,1999,NP,52.3943662,0,52.3943662,2185.5,2691,1.2,1.20 ,0.38,0.09,594,654,1.88,0.98 ,0.41,0.06,76.0944,13.5546,38.8397662,303.4894458,9.802784223,4.3,26.6,0.75,NA,NA,NA,NA,NA,0.54,NA,10.7268,2.8278
119,2000,NPKS,52.3943662,3.744,56.1383662,1977,1852.5,1.1,0.82 ,0.2,0.16,1000.5,1977,1.86,1.00 ,0.34,0.06,75.3168,11.5059,44.6324662,237.409612,10.61484919,4.8,11.6,0.68,NA,NA,NA,NA,NA,0.76,NA,6.918,4.5879
46,1994,N,0,0,0,888,1446.75,1.51,1.17 ,0.31,0.26,1054.5,2940,2.22,0.71 ,0.34,0.05,74.73561771,11.56965,-11.56965,-61.926675,7.308584687,5,6.1,0.47,NA,NA,NA,NA,NA,1.05,NA,6.51435,5.0553
240,2011,NPKS,52.3943662,0.671,53.0653662,2695.573368,2115.10575,1.367315037,1.16 ,0.26,0.15,216.9505022,706.9103438,2.961067451,0.90 ,0.29,0.08,74.2951749,11.37583411,41.68953208,704.7577781,8.655625307,4.18,31.228212,0.997057026,NA,NA,NA,NA,NA,0.32,0.548764172,10.18114938,1.194684731
281,2015,NPK,52.3943662,0,52.3943662,817.3353697,2467.53,0.996347158,1.54 ,0.2,0.25,559.6771884,1432.544184,3.300223185,0.47 ,0.34,0.04,71.31238377,10.27941585,42.11495034,900.1303407,11.54832395,4.1175,64.05,1.116668754,NA,NA,NA,NA,NA,1.58,0.52746643,7.803495739,2.475920114
328,2019,NPKS,52.3943662,3.864681818,56.25904802,2002.903478,1933.402859,#REF!,#REF!,0.250955778,0.311973466,745.7937279,1537.648497,#REF!,#REF!,0.341332789,0.061859723,#REF!,11.31393582,44.9451122,1080.897512,10.23459974,4.506323529,45.16858847,0.882303765,NA,NA,NA,NA,NA,NA,NA,7.817112185,3.496823632
57,1995,N,0,0,0,1399.5,2081.25,1.18,1.17 ,0.26,0.3,864,1167,2.349442151,0.71 ,0.33,0.05,69.4672847,13.31715,-13.31715,-75.243825,8.648491879,5.5,2.2,0.45,NA,NA,NA,NA,NA,0.48,NA,9.88245,3.4347
229,2010,NPKS,52.3943662,1.909,54.3033662,2238.184294,1650.0825,1.13459182,0.92 ,0.21,0.08,426.34625,1559.973344,2.977749326,1.01 ,0.29,0.1,68.92118711,8.816630486,45.48673571,663.068246,10.65571613,4.415,49.59,NA,NA,NA,NA,NA,NA,0.24,NA,6.020253018,2.796377469
116,2000,NPK,52.3943662,0,52.3943662,2890.5,1063.5,1.11,1.02 ,0.29,0.09,802.5,1509,1.86,0.62 ,0.3,0.09,67.21455,13.1052,39.2891662,249.691912,9.918793503,4.7,42.05,0.8,0.182809493,293.2,1893.4,61.32,2732.8,0.76,NA,9.3396,3.7656
226,2010,NPK,52.3943662,0,52.3943662,1885.321534,1425.07125,1.207347051,0.88 ,0.25,0.13,442.45575,1785.08925,2.894041499,1.01 ,0.23,0.09,66.25290236,9.19012501,43.20424119,671.934232,10.3947681,4.375,44.702125,1.057563226,NA,NA,NA,NA,NA,0.24,NA,6.56589646,2.62422855
91,1998,NP,52.3943662,0,52.3943662,297,2835,1.3,0.95 ,0.28,0.07,832.5,2487,1.8,0.81 ,0.41,0.04,65.9232,7.22415,45.1702162,264.6496796,9.860788863,4.7,40.1,0.96,NA,NA,NA,NA,NA,0.72,NA,2.8161,4.40805
317,2018,NPKS,52.3943662,3.864681818,56.25904802,1365.825,1230.615,1.296421014,1.38 ,0.300768684,0.264243919,876.0878962,2092.278087,2.393794948,0.42 ,0.36285177,0.029565165,64.48487109,11.15728511,45.10176291,1035.952399,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,7.359799193,3.797485916
284,2015,NPKS,52.3943662,3.864681818,56.25904802,580.7407709,2699.7975,1.045496988,1.51 ,0.23,0.26,514.440544,1235.16657,2.212164229,0.37 ,0.36,0.08,62.93947958,11.19529649,45.06375153,896.2215067,9.895837013,4.23,76.9725,1.096355198,NA,NA,NA,NA,NA,1.58,0.543743608,8.355177273,2.840119214
124,2001,NP,52.3943662,0,52.3943662,2002.5,1611,1.03,1.17 ,0.26,0.13,828,1121.25,1.98,0.60 ,0.3,0.04,62.59635,10.2333,42.1610662,386.1509282,10.56264501,              ,52.7,0.74,NA,NA,NA,NA,NA,0.62,NA,7.3008,2.9325
174,2005,NPKS,52.3943662,2.4,54.7943662,1464,1503,0.950967544,0.77 ,0.26,0.1,1431,1803,1.936740677,0.39 ,0.53,0.03,60.28631517,13.4346,41.3597662,432.421118,8.564675174,4.5,49.96,0.7893,NA,NA,NA,NA,NA,0.71,0.5799,5.3094,8.1252
325,2019,NPK,52.3943662,0,52.3943662,1797.698545,1535.002174,#REF!,#REF!,0.248828961,0.279552475,659.3259145,1387.520548,#REF!,#REF!,0.294231412,0.059059694,#REF!,9.36665851,43.02770769,1069.579771,10.25605779,4.439245098,49.72614194,0.926322966,0.177998717,424.86,2017,58.08,4126.8,NA,NA,6.607249182,2.759409328
314,2018,NPK,52.3943662,0,52.3943662,1432.77375,915.285,1.216348856,1.32 ,0.291764835,0.171535817,1007.11985,1959.933644,2.354754912,0.29 ,0.343980365,0.018981507,58.98951447,9.586691059,42.80767514,1026.552063,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,5.750371575,3.836319484
196,2007,NPKS,52.3943662,5.4,57.7943662,1256.698774,1998,1.12,0.96 ,0.27,0.09,568.5218182,1512.058824,2.547514378,0.67 ,0.37,0.07,57.90671859,8.353258594,49.4411076,525.5899255,10.92650812,4.76,38.84,0.9586,NA,NA,NA,NA,NA,0.64,0.5333,5.19128669,3.161971904
16,1991,PK,52.3943662,0,52.3943662,598.5,1449,1.05,0.530376868,0.29,0.2,1470,2874.75,2.15091798,0.40 ,0.4,0.07,56.99946257,12.525975,39.8683912,39.8683912,NA,NA,NA,0.45,NA,NA,NA,NA,NA,0.8,NA,4.63365,7.892325
237,2011,NPK,52.3943662,0,52.3943662,2382.976286,1300.065,1.295923917,1.26 ,0.23,0.13,167.508375,525.314726,2.892061591,0.92 ,0.26,0.07,56.94410327,7.97417204,44.42019416,716.3544262,9.142980346,4.3,36.011954,1.057563226,NA,NA,NA,NA,NA,0.32,0.539304114,7.170929957,0.803242083
70,1996,NK,0,0,0,1350,1650,1.16,1.18 ,0.23,0.76,313.5,1012.5,2.392302826,0.89 ,0.33,0.06,51.63791799,17.28705,-17.28705,-130.937775,10.55684455,5,8.6,0.425,NA,NA,NA,NA,NA,0.79,NA,15.645,1.64205
170,2005,PK,52.3943662,0,52.3943662,379.5,951.75,0.947530857,0.75 ,0.29,0.15,1417.5,2207.25,2.569973201,0.20 ,0.32,0.05,51.49598068,8.1678,44.2265662,637.015418,7.456728538,5.34,43.71,0.6391,NA,NA,NA,NA,NA,0.71,0.5361,2.528175,5.639625
135,2002,NP,52.3943662,0,52.3943662,1465.5,1319.25,1.23,1.14 ,0.27,0.3,543,595.5,2.66,0.65 ,0.34,0.07,51.40351863,7.934925,44.4594412,430.6103694,10.4350348,4.7,20.4,0.69,NA,NA,NA,NA,NA,1.13,NA,5.671875,2.26305
185,2006,NPKS,52.3943662,1.68,54.0743662,1767,1373.25,0.993652393,0.65 ,0.28,0.12,703.4625,1140.75,2.433997376,0.55 ,0.29,0.15,49.78499561,10.34666625,43.72769995,476.1488179,9.109154361,4.51,53.7175,0.7988,NA,NA,NA,NA,NA,0.84,0.4622,6.5955,3.75116625
225,2010,PK,52.3943662,0,52.3943662,357.2877048,1005.05025,1.015680978,0.47 ,0.25,0.24,1242.844453,2303.624791,2.314766425,0.55 ,0.32,0.08,49.76128672,9.125341945,43.26902425,859.8519697,8.750335078,5.28,43.142875,NA,NA,NA,NA,NA,NA,0.24,NA,3.305339862,5.820002083
263,2013,NPKMR,52.3943662,158,210.3943662,484.515,831.6675,,,NA,NA,1028.317235,2858.043308,2.75803248,0.67 ,0.35,0.2,47.54427069,NA,NA,NA,16.45199009,6.01,94.1,1.579320202,7.888069275,1558.4,2034,49.62,2990.2,0.22,1.096462785,NA,9.315196938
171,2005,NPK,52.3943662,0,52.3943662,1309.5,951.75,0.953411887,0.77 ,0.26,0.13,882,1614.75,2.400166128,0.34 ,0.34,0.04,46.45241317,8.286675,44.1076912,441.473793,8.535440835,4.48,45.39,0.8226,NA,NA,NA,NA,NA,0.71,0.5258,4.641975,3.6447
251,2012,NPKS,52.3943662,1.881,54.2753662,850.0425,879.5498523,1.092452563,0.76 ,0.26,0.33,628.5935629,1752.215243,2.692338575,0.72 ,0.35,0.1,45.44629573,9.064917726,45.21044847,749.9682266,11.00190436,4.7625,38.83708,0.958582665,NA,NA,NA,NA,NA,0.54,0.533332495,5.112625013,3.952292713
137,2002,PK,52.3943662,0,52.3943662,1417.5,1365,1.05,0.53 ,0.29,0.88,828,889.5,2.38,0.40 ,0.35,0.07,45.36073793,11.8629,40.5314662,506.2299194,10.24941995,5.6,46.9,0.75,NA,NA,NA,NA,NA,1.13,NA,8.34225,3.52065
