ID,Year,Treatments,FertilizerP [kg/ha/yr],Manure [kg/ha],Pinput[kg/ha],maizegrain[kg/ha],maize straw[kg/ha],N concentration in maize grain[%],N concentration in maize straw[%],P concentration in maize grain[%],P concentration in maize straw[%],wheatgrain[kg/ha],wheat straw[kg/ha],N concentration in wheat grain[%],N concentration in wheat straw[%],P concentration in wheat grain[%],P concentration in wheat straw[%],Nuptake[kg/ha],Puptake[kg/ha],Psurplus[kg/ha],Oaccumulatedsurplus[kg/ha],SOC[g/kg],pH,OlsenP[mg/kg],TotalP[g/kg],CaCl2P[mg/kg],oxalateP[mg/kg],oxalateAl[mg/kg],oxalateCa[m/kg],oxalateFe[mg/kg],preci_sur[m/yr],totalp20-40[g/kg],puptakemaize[kg/ha],puptakewheat[kg/ha]
112,2000,N,0,0,0,46.5,139.5,1.03,1.17 ,0.28,0.16,181.5,545.25,2.2,0.89 ,0.3,0.05,10.956825,1.170525,-1.170525,-93.6891,9.686774942,4.4,3.7,0.43,0.001,122.8,1722.2,60.94,2462.6,0.76,NA,0.3534,0.817125
276,2015,CK,0,0,0,51.948,1018.98,0.628904227,0.26 ,0.19,0.1,199.349625,745.1395571,2.51914398,0.34 ,0.32,0.02,10.54387712,1.904627911,-1.904627911,-89.51557394,7.266856839,5.8425,3.1375,0.478593627,NA,NA,NA,NA,NA,1.58,0.364965231,1.1176812,0.786946711
267,2014,NP,52.3943662,0,52.3943662,240.5427201,268.00425,1.383678782,0.66 ,0.22,0.14,236.9411765,865.8374557,0.361938177,0.53 ,0.32,0.04,10.50576379,2.008946681,50.38541952,1006.80445,11.46913568,4.1175,69.9975,1.111794406,NA,NA,NA,NA,NA,0.56,0.481709832,0.904399934,1.104546747
243,2012,CK,0,0,0,41.00205,510.00255,1.108330026,0.38 ,0.22,0.09,210.5142857,649.4612195,2.440952611,0.34 ,0.4,0.04,9.747975537,1.651048436,-1.651048436,-85.35132148,8.193125525,5.8725,3.79348,0.39847215,NA,NA,NA,NA,NA,0.54,0.346433183,0.549206805,1.101841631
147,2003,NK,0,0,0,243,442.5,1.112351066,1.04 ,0.22,0.1,48,99.75,2.826159968,0.68 ,0.31,0.09,9.332582788,1.215675,-1.215675,-149.5719,9.912993039,4.3,5.5,0.41895,NA,NA,NA,NA,NA,0.46,NA,0.9771,0.238575
298,2017,CK,0,0,0,33,595.2975,0.932309815,0.34 ,0.270799733,0.068811111,231.0846247,752.94533,2.055423379,0.26 ,0.403208084,0.021637328,9.062828399,1.593663878,-1.593663878,-92.10863244,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,0.498994737,1.094669141
123,2001,N,0,0,0,195,175.5,1.03,1.28 ,0.26,0.1,100.5,300.75,2.03,0.90 ,0.28,0.04,9.0018,1.0842,-1.0842,-94.7733,9.060324826,4.4,1.44,0.43,NA,NA,NA,NA,NA,0.62,NA,0.6825,0.4017
254,2013,CK,0,0,0,29.97,511.9875,0.923951965,0.50 ,0.22,0.07,150.7803525,588.4949338,2.436093702,0.35 ,0.34,0.07,8.538106808,1.348924902,-1.348924902,-86.70024639,8.983648924,5.825,2.3125,0.400663856,NA,NA,NA,NA,NA,0.22,0.280133911,0.42432525,0.924599652
158,2004,NK,0,0,0,225,255,1.076357218,1.18 ,0.19,0.15,37.5,244.5,2.828533148,0.81 ,0.36,0.07,8.477533135,1.11615,-1.11615,-150.68805,9.523201856,4.21,4.2,0.4279,NA,NA,NA,NA,NA,0.71,0.4157,0.81,0.30615
287,2016,CK,0,0,0,25.762875,230.115,0.960164506,0.41 ,0.26,0.05,97.298625,542.1568967,2.978450476,0.48 ,0.45,0.07,6.708227684,0.999394615,-0.999394615,-90.51496856,7.781264341,5.7,3.286666667,0.477842929,NA,NA,NA,NA,NA,0.7,0.395812266,0.182040975,0.81735364
